#t	m	dm	e	de	x	dx	h	dh
0.3530	0.1085	0.0066	-0.8913	0.0044	0.018373	0.000634	0.798779	0.014119
0.3560	0.1124	0.0070	-0.9037	0.0046	0.019582	0.000725	0.821345	0.014974
0.3590	0.1158	0.0074	-0.9160	0.0046	0.020757	0.000795	0.843799	0.015461
0.3620	0.1189	0.0079	-0.9277	0.0046	0.021973	0.000905	0.865124	0.015893
0.3650	0.1231	0.0082	-0.9403	0.0047	0.023367	0.000973	0.888585	0.016709
0.3680	0.1276	0.0090	-0.9539	0.0048	0.025268	0.001174	0.914663	0.017509
0.3710	0.1332	0.0097	-0.9668	0.0048	0.027434	0.001360	0.939558	0.018090
0.3740	0.1377	0.0103	-0.9785	0.0049	0.029252	0.001558	0.962311	0.019012
0.3770	0.1439	0.0111	-0.9920	0.0050	0.031785	0.001774	0.988880	0.020001
0.3800	0.1504	0.0122	-1.0068	0.0052	0.034798	0.002113	1.018571	0.021094
0.3830	0.1567	0.0130	-1.0206	0.0053	0.037478	0.002397	1.046935	0.022334
0.3860	0.1655	0.0144	-1.0352	0.0054	0.041834	0.002923	1.076993	0.023246
0.3890	0.1735	0.0156	-1.0501	0.0056	0.045669	0.003466	1.108243	0.024859
0.3920	0.1826	0.0170	-1.0646	0.0056	0.050302	0.004056	1.139098	0.025904
0.3950	0.1937	0.0191	-1.0805	0.0059	0.056632	0.005041	1.173057	0.027746
0.3980	0.2058	0.0209	-1.0968	0.0060	0.063296	0.005973	1.209031	0.029516
0.4010	0.2205	0.0233	-1.1146	0.0063	0.071987	0.007371	1.248647	0.031722
0.4040	0.2356	0.0259	-1.1303	0.0067	0.081293	0.009102	1.284035	0.034676
0.4070	0.2544	0.0285	-1.1493	0.0068	0.093242	0.010912	1.327762	0.036375
0.4100	0.2752	0.0322	-1.1688	0.0073	0.108115	0.013839	1.373422	0.040755
0.4130	0.3005	0.0356	-1.1884	0.0077	0.125883	0.016833	1.419609	0.044138
0.4160	0.3275	0.0394	-1.2106	0.0082	0.146408	0.020669	1.473951	0.049585
0.4190	0.3580	0.0425	-1.2327	0.0088	0.170722	0.024453	1.528257	0.054970
0.4220	0.3974	0.0457	-1.2587	0.0094	0.203616	0.029313	1.593505	0.060911
0.4250	0.4350	0.0473	-1.2835	0.0100	0.236697	0.033460	1.657832	0.067469
0.4280	0.4757	0.0479	-1.3103	0.0105	0.274059	0.037080	1.727335	0.073219
0.4310	0.5211	0.0459	-1.3395	0.0109	0.317390	0.039470	1.805085	0.078917
0.4340	0.5687	0.0428	-1.3703	0.0110	0.365957	0.040490	1.888347	0.082782
0.4370	0.6109	0.0382	-1.3996	0.0109	0.411368	0.039705	1.969899	0.084745
0.4400	0.6514	0.0328	-1.4295	0.0104	0.457406	0.037256	2.053589	0.084193
0.4430	0.6864	0.0269	-1.4554	0.0100	0.498074	0.033507	2.128644	0.083422
0.4460	0.7193	0.0207	-1.4823	0.0092	0.537891	0.028814	2.206772	0.079665
0.4490	0.7449	0.0167	-1.5060	0.0087	0.571877	0.025114	2.276392	0.077244
0.4520	0.7691	0.0127	-1.5292	0.0080	0.604128	0.021076	2.346951	0.073090
0.4550	0.7884	0.0096	-1.5490	0.0075	0.631144	0.017554	2.407021	0.070759
0.4580	0.8040	0.0078	-1.5683	0.0069	0.654171	0.015203	2.466175	0.067255
0.4610	0.8184	0.0062	-1.5863	0.0066	0.676082	0.012825	2.523119	0.065130
0.4640	0.8310	0.0048	-1.6033	0.0060	0.695343	0.010874	2.576246	0.060894
0.4670	0.8423	0.0038	-1.6197	0.0056	0.713299	0.009169	2.628632	0.058160
0.4700	0.8519	0.0031	-1.6339	0.0053	0.729007	0.007886	2.674713	0.055927
0.4730	0.8605	0.0026	-1.6476	0.0050	0.743017	0.006913	2.719066	0.054194
0.4760	0.8682	0.0023	-1.6611	0.0048	0.755906	0.006165	2.764074	0.051821
0.4790	0.8755	0.0019	-1.6742	0.0044	0.768475	0.005342	2.808027	0.049129
0.4820	0.8817	0.0017	-1.6856	0.0043	0.778995	0.004896	2.845049	0.048320
0.4850	0.8876	0.0015	-1.6969	0.0041	0.789338	0.004416	2.883736	0.046311
0.4880	0.8928	0.0013	-1.7068	0.0039	0.798526	0.003933	2.917068	0.044723
0.4910	0.8981	0.0012	-1.7174	0.0037	0.807693	0.003535	2.953116	0.042917
0.4940	0.9030	0.0010	-1.7274	0.0035	0.816452	0.003221	2.987901	0.041254
0.4970	0.9072	0.0010	-1.7363	0.0034	0.823913	0.003002	3.018276	0.040637
0.5000	0.9114	0.0009	-1.7458	0.0032	0.831611	0.002745	3.051209	0.038892
