#t	m	dm	e	de	x	dx	h	dh
0.3530	0.2203	0.0022	-0.8951	0.0019	0.073056	0.001300	0.819440	0.003668
0.3560	0.2265	0.0023	-0.9064	0.0019	0.076648	0.001362	0.840636	0.003645
0.3590	0.2342	0.0022	-0.9201	0.0020	0.081832	0.001388	0.865519	0.003790
0.3620	0.2422	0.0025	-0.9321	0.0020	0.087243	0.001529	0.888535	0.003703
0.3650	0.2509	0.0025	-0.9445	0.0019	0.092815	0.001528	0.912259	0.003874
0.3680	0.2587	0.0024	-0.9578	0.0020	0.098283	0.001610	0.937950	0.004020
0.3710	0.2691	0.0026	-0.9716	0.0020	0.105660	0.001699	0.964946	0.003995
0.3740	0.2803	0.0027	-0.9882	0.0020	0.114255	0.001885	0.998658	0.004285
0.3770	0.2912	0.0029	-1.0030	0.0021	0.122045	0.001894	1.028487	0.004429
0.3800	0.3036	0.0028	-1.0185	0.0022	0.131744	0.002028	1.060927	0.004461
0.3830	0.3169	0.0030	-1.0334	0.0022	0.141681	0.002059	1.091792	0.004668
0.3860	0.3307	0.0029	-1.0505	0.0022	0.152734	0.002193	1.128359	0.004875
0.3890	0.3446	0.0030	-1.0666	0.0022	0.164656	0.002344	1.163642	0.005096
0.3920	0.3628	0.0032	-1.0861	0.0023	0.179653	0.002539	1.207094	0.005326
0.3950	0.3772	0.0032	-1.1035	0.0023	0.193246	0.002689	1.246159	0.005548
0.3980	0.3977	0.0031	-1.1248	0.0024	0.210427	0.002724	1.294791	0.005403
0.4010	0.4155	0.0033	-1.1423	0.0025	0.226775	0.002791	1.335361	0.005832
0.4040	0.4349	0.0033	-1.1641	0.0025	0.244974	0.002905	1.386437	0.006075
0.4070	0.4607	0.0034	-1.1874	0.0026	0.269413	0.003118	1.442943	0.006409
0.4100	0.4810	0.0034	-1.2084	0.0026	0.288986	0.003142	1.494288	0.006322
0.4130	0.5086	0.0034	-1.2338	0.0026	0.316629	0.003208	1.557280	0.006615
0.4160	0.5316	0.0034	-1.2580	0.0027	0.340607	0.003365	1.618317	0.006929
0.4190	0.5535	0.0033	-1.2806	0.0027	0.363345	0.003328	1.676526	0.007380
0.4220	0.5749	0.0034	-1.3021	0.0027	0.386914	0.003397	1.732784	0.007009
0.4250	0.6036	0.0032	-1.3305	0.0027	0.417509	0.003385	1.806504	0.007005
0.4280	0.6229	0.0032	-1.3522	0.0028	0.439745	0.003423	1.866278	0.007628
0.4310	0.6472	0.0030	-1.3775	0.0027	0.467865	0.003497	1.934225	0.007560
0.4340	0.6725	0.0030	-1.4025	0.0028	0.497262	0.003317	2.002618	0.007454
0.4370	0.6934	0.0029	-1.4258	0.0026	0.522381	0.003311	2.068627	0.007235
0.4400	0.7131	0.0027	-1.4498	0.0025	0.547398	0.003137	2.135947	0.007246
0.4430	0.7338	0.0025	-1.4726	0.0027	0.572778	0.003078	2.200658	0.007548
0.4460	0.7522	0.0024	-1.4954	0.0026	0.596333	0.003003	2.267456	0.007092
0.4490	0.7679	0.0023	-1.5143	0.0024	0.617190	0.002918	2.322989	0.007189
0.4520	0.7840	0.0022	-1.5350	0.0024	0.638836	0.002767	2.384642	0.007313
0.4550	0.7998	0.0020	-1.5552	0.0023	0.660531	0.002613	2.446173	0.006954
0.4580	0.8112	0.0019	-1.5714	0.0023	0.676454	0.002558	2.495138	0.006791
0.4610	0.8231	0.0019	-1.5894	0.0022	0.694024	0.002465	2.550428	0.006545
0.4640	0.8332	0.0018	-1.6036	0.0022	0.708567	0.002297	2.595072	0.006505
0.4670	0.8426	0.0016	-1.6191	0.0021	0.722889	0.002156	2.643931	0.006507
0.4700	0.8522	0.0015	-1.6343	0.0021	0.737196	0.002122	2.691334	0.006434
0.4730	0.8604	0.0014	-1.6467	0.0020	0.749776	0.002010	2.731395	0.006522
0.4760	0.8680	0.0013	-1.6612	0.0020	0.762020	0.001947	2.778517	0.006556
0.4790	0.8757	0.0012	-1.6745	0.0019	0.774283	0.001918	2.821635	0.006369
0.4820	0.8808	0.0012	-1.6842	0.0019	0.782611	0.001783	2.853764	0.006154
0.4850	0.8881	0.0011	-1.6978	0.0018	0.794665	0.001719	2.898890	0.005904
0.4880	0.8930	0.0010	-1.7076	0.0018	0.802736	0.001631	2.931384	0.005700
0.4910	0.8982	0.0009	-1.7177	0.0018	0.811364	0.001589	2.965123	0.005812
0.4940	0.9028	0.0009	-1.7269	0.0017	0.819368	0.001483	2.996059	0.005521
0.4970	0.9061	0.0009	-1.7348	0.0016	0.824927	0.001528	3.023448	0.005466
0.5000	0.9115	0.0008	-1.7453	0.0016	0.834042	0.001357	3.059267	0.005464
