#t	m	dm	e	de	x	dx	h	dh
0.3530	0.0589	0.0006	-0.8916	0.0005	0.005419	0.000108	0.796201	0.000899
0.3560	0.0606	0.0006	-0.9039	0.0005	0.005778	0.000116	0.818307	0.000918
0.3590	0.0626	0.0007	-0.9157	0.0005	0.006136	0.000121	0.839900	0.000971
0.3620	0.0644	0.0007	-0.9276	0.0005	0.006498	0.000124	0.861824	0.000961
0.3650	0.0668	0.0007	-0.9404	0.0005	0.007005	0.000136	0.885745	0.000976
0.3680	0.0692	0.0007	-0.9529	0.0005	0.007491	0.000146	0.909552	0.001075
0.3710	0.0722	0.0007	-0.9665	0.0005	0.008154	0.000164	0.935548	0.001061
0.3740	0.0750	0.0008	-0.9793	0.0006	0.008765	0.000168	0.960499	0.001073
0.3770	0.0775	0.0008	-0.9927	0.0006	0.009445	0.000185	0.987001	0.001086
0.3800	0.0812	0.0009	-1.0069	0.0006	0.010335	0.000204	1.015337	0.001127
0.3830	0.0851	0.0009	-1.0206	0.0006	0.011286	0.000217	1.043187	0.001116
0.3860	0.0897	0.0009	-1.0349	0.0006	0.012447	0.000241	1.072636	0.001131
0.3890	0.0932	0.0010	-1.0494	0.0006	0.013620	0.000266	1.102738	0.001158
0.3920	0.0989	0.0010	-1.0646	0.0006	0.015274	0.000311	1.134973	0.001233
0.3950	0.1040	0.0011	-1.0799	0.0006	0.016794	0.000316	1.168055	0.001301
0.3980	0.1111	0.0012	-1.0953	0.0006	0.019097	0.000363	1.201413	0.001286
0.4010	0.1181	0.0012	-1.1114	0.0006	0.021647	0.000416	1.237061	0.001341
0.4040	0.1263	0.0013	-1.1282	0.0006	0.024529	0.000445	1.274558	0.001366
0.4070	0.1378	0.0014	-1.1452	0.0006	0.029058	0.000550	1.313565	0.001435
0.4100	0.1489	0.0015	-1.1627	0.0006	0.033699	0.000627	1.353688	0.001490
0.4130	0.1637	0.0017	-1.1813	0.0007	0.040623	0.000757	1.397471	0.001497
0.4160	0.1814	0.0018	-1.1999	0.0007	0.049093	0.000869	1.441848	0.001557
0.4190	0.2036	0.0020	-1.2207	0.0007	0.061372	0.001047	1.492618	0.001689
0.4220	0.2308	0.0022	-1.2423	0.0007	0.077339	0.001244	1.545684	0.001733
0.4250	0.2679	0.0024	-1.2648	0.0008	0.101225	0.001533	1.602515	0.001844
0.4280	0.3155	0.0027	-1.2904	0.0008	0.134495	0.001783	1.668196	0.002046
0.4310	0.3772	0.0028	-1.3190	0.0008	0.182242	0.002163	1.743207	0.002099
0.4340	0.4484	0.0028	-1.3511	0.0008	0.241573	0.002368	1.829127	0.002310
0.4370	0.5223	0.0026	-1.3837	0.0009	0.310042	0.002530	1.918312	0.002378
0.4400	0.5965	0.0024	-1.4183	0.0009	0.384680	0.002301	2.015047	0.002527
0.4430	0.6574	0.0020	-1.4501	0.0008	0.452097	0.002271	2.106156	0.002392
0.4460	0.7046	0.0016	-1.4792	0.0008	0.509031	0.001851	2.191334	0.002246
0.4490	0.7390	0.0013	-1.5047	0.0008	0.554091	0.001549	2.266706	0.002236
0.4520	0.7666	0.0010	-1.5287	0.0007	0.592697	0.001394	2.339183	0.002110
0.4550	0.7875	0.0009	-1.5495	0.0007	0.623499	0.001176	2.403054	0.002036
0.4580	0.8047	0.0007	-1.5689	0.0006	0.649983	0.001020	2.463689	0.002008
0.4610	0.8190	0.0006	-1.5866	0.0006	0.672448	0.000932	2.519113	0.002015
0.4640	0.8313	0.0005	-1.6036	0.0006	0.692358	0.000847	2.573125	0.001905
0.4670	0.8423	0.0005	-1.6197	0.0006	0.710674	0.000772	2.625172	0.001820
0.4700	0.8519	0.0004	-1.6341	0.0006	0.726649	0.000760	2.671728	0.001834
0.4730	0.8607	0.0004	-1.6482	0.0005	0.741534	0.000651	2.718158	0.001805
0.4760	0.8682	0.0004	-1.6609	0.0005	0.754393	0.000634	2.760070	0.001822
0.4790	0.8753	0.0004	-1.6737	0.0005	0.766724	0.000592	2.802472	0.001780
0.4820	0.8816	0.0003	-1.6854	0.0005	0.777800	0.000566	2.842001	0.001733
0.4850	0.8877	0.0003	-1.6969	0.0005	0.788533	0.000528	2.880831	0.001698
0.4880	0.8929	0.0003	-1.7070	0.0005	0.797593	0.000493	2.914957	0.001613
0.4910	0.8980	0.0003	-1.7175	0.0005	0.806811	0.000480	2.950963	0.001565
0.4940	0.9029	0.0003	-1.7275	0.0005	0.815563	0.000447	2.985377	0.001598
0.4970	0.9073	0.0002	-1.7369	0.0005	0.823514	0.000438	3.017716	0.001522
0.5000	0.9113	0.0002	-1.7455	0.0004	0.830682	0.000406	3.047962	0.001489
