#t	m	dm	e	de	x	dx	h	dh
0.3530	0.0542	0.0006	-0.8916	0.0005	0.004605	0.000093	0.796132	0.000824
0.3560	0.0557	0.0006	-0.9033	0.0005	0.004860	0.000097	0.817061	0.000868
0.3590	0.0572	0.0006	-0.9165	0.0005	0.005114	0.000103	0.841021	0.000874
0.3620	0.0594	0.0006	-0.9279	0.0005	0.005537	0.000110	0.862148	0.000904
0.3650	0.0614	0.0006	-0.9406	0.0005	0.005955	0.000116	0.885904	0.000908
0.3680	0.0641	0.0007	-0.9534	0.0005	0.006405	0.000123	0.910132	0.000962
0.3710	0.0657	0.0007	-0.9671	0.0005	0.006759	0.000134	0.936446	0.000938
0.3740	0.0693	0.0007	-0.9794	0.0005	0.007504	0.000146	0.960475	0.000961
0.3770	0.0711	0.0008	-0.9930	0.0005	0.007907	0.000161	0.987306	0.001035
0.3800	0.0742	0.0008	-1.0062	0.0005	0.008626	0.000167	1.013787	0.001020
0.3830	0.0776	0.0008	-1.0204	0.0005	0.009411	0.000191	1.042409	0.001040
0.3860	0.0813	0.0009	-1.0349	0.0005	0.010298	0.000199	1.072367	0.001064
0.3890	0.0861	0.0009	-1.0495	0.0005	0.011559	0.000227	1.103028	0.001115
0.3920	0.0903	0.0010	-1.0645	0.0005	0.012645	0.000243	1.134517	0.001130
0.3950	0.0955	0.0010	-1.0794	0.0005	0.014233	0.000286	1.166479	0.001209
0.3980	0.1012	0.0011	-1.0951	0.0006	0.015955	0.000317	1.200775	0.001181
0.4010	0.1084	0.0011	-1.1116	0.0006	0.018167	0.000354	1.237124	0.001165
0.4040	0.1160	0.0012	-1.1279	0.0005	0.020826	0.000396	1.273664	0.001251
0.4070	0.1253	0.0013	-1.1450	0.0006	0.024262	0.000466	1.312518	0.001323
0.4100	0.1359	0.0014	-1.1628	0.0006	0.028408	0.000558	1.353787	0.001359
0.4130	0.1494	0.0015	-1.1807	0.0006	0.034040	0.000592	1.395634	0.001382
0.4160	0.1662	0.0017	-1.2001	0.0006	0.041746	0.000755	1.442037	0.001417
0.4190	0.1857	0.0018	-1.2199	0.0006	0.051652	0.000898	1.489784	0.001500
0.4220	0.2118	0.0021	-1.2407	0.0006	0.065829	0.001068	1.541465	0.001530
0.4250	0.2462	0.0022	-1.2640	0.0007	0.086652	0.001307	1.599862	0.001634
0.4280	0.2918	0.0025	-1.2891	0.0007	0.117067	0.001594	1.664362	0.001717
0.4310	0.3543	0.0027	-1.3171	0.0007	0.162751	0.001916	1.737403	0.001844
0.4340	0.4262	0.0029	-1.3482	0.0008	0.221949	0.002304	1.820523	0.002083
0.4370	0.5112	0.0027	-1.3829	0.0008	0.298056	0.002396	1.915562	0.002193
0.4400	0.5885	0.0024	-1.4167	0.0008	0.374716	0.002376	2.010021	0.002207
0.4430	0.6552	0.0020	-1.4499	0.0008	0.447719	0.002113	2.104812	0.002041
0.4460	0.7029	0.0015	-1.4787	0.0007	0.505572	0.001819	2.188874	0.002071
0.4490	0.7391	0.0012	-1.5046	0.0007	0.553102	0.001517	2.266132	0.002056
0.4520	0.7663	0.0009	-1.5288	0.0006	0.591839	0.001311	2.339225	0.001962
0.4550	0.7877	0.0008	-1.5496	0.0006	0.623211	0.001126	2.403166	0.001907
0.4580	0.8047	0.0006	-1.5691	0.0006	0.649504	0.000988	2.463748	0.001857
0.4610	0.8188	0.0006	-1.5868	0.0006	0.672055	0.000867	2.519742	0.001712
0.4640	0.8314	0.0005	-1.6035	0.0006	0.692398	0.000781	2.573010	0.001770
0.4670	0.8421	0.0004	-1.6194	0.0005	0.710149	0.000715	2.623740	0.001734
0.4700	0.8518	0.0004	-1.6341	0.0005	0.726257	0.000666	2.671607	0.001664
0.4730	0.8607	0.0004	-1.6482	0.0005	0.741441	0.000605	2.718029	0.001709
0.4760	0.8683	0.0003	-1.6612	0.0005	0.754548	0.000589	2.760950	0.001633
0.4790	0.8752	0.0003	-1.6739	0.0005	0.766506	0.000544	2.803080	0.001623
0.4820	0.8817	0.0003	-1.6855	0.0005	0.777911	0.000502	2.841998	0.001546
0.4850	0.8878	0.0003	-1.6968	0.0005	0.788503	0.000493	2.880126	0.001560
0.4880	0.8929	0.0003	-1.7073	0.0004	0.797697	0.000453	2.915723	0.001543
0.4910	0.8981	0.0002	-1.7175	0.0004	0.806823	0.000424	2.950867	0.001538
0.4940	0.9031	0.0002	-1.7277	0.0004	0.815756	0.000420	2.985778	0.001482
0.4970	0.9073	0.0002	-1.7368	0.0004	0.823440	0.000389	3.017161	0.001368
0.5000	0.9114	0.0002	-1.7456	0.0004	0.830810	0.000367	3.047840	0.001426
