#t	m	dm	e	de	x	dx	h	dh
0.3530	0.1300	0.0013	-0.8926	0.0011	0.026247	0.000503	0.803031	0.002011
0.3560	0.1345	0.0014	-0.9041	0.0012	0.028142	0.000523	0.823929	0.002031
0.3590	0.1397	0.0015	-0.9165	0.0011	0.030060	0.000553	0.846523	0.002157
0.3620	0.1429	0.0015	-0.9278	0.0011	0.031376	0.000588	0.867455	0.002093
0.3650	0.1482	0.0016	-0.9403	0.0012	0.033889	0.000641	0.890796	0.002172
0.3680	0.1551	0.0016	-0.9533	0.0012	0.036935	0.000698	0.915715	0.002259
0.3710	0.1609	0.0017	-0.9670	0.0012	0.039621	0.000739	0.942443	0.002274
0.3740	0.1653	0.0016	-0.9794	0.0012	0.041665	0.000754	0.966189	0.002388
0.3770	0.1727	0.0017	-0.9938	0.0013	0.045441	0.000820	0.994768	0.002424
0.3800	0.1809	0.0018	-1.0067	0.0012	0.049577	0.000878	1.020947	0.002560
0.3830	0.1894	0.0019	-1.0210	0.0012	0.053978	0.000935	1.050029	0.002551
0.3860	0.1978	0.0020	-1.0360	0.0013	0.059028	0.001067	1.081062	0.002691
0.3890	0.2088	0.0020	-1.0505	0.0013	0.065268	0.001116	1.111802	0.002699
0.3920	0.2201	0.0022	-1.0666	0.0013	0.071970	0.001238	1.145870	0.002777
0.3950	0.2330	0.0023	-1.0825	0.0013	0.079819	0.001363	1.180520	0.002867
0.3980	0.2472	0.0023	-1.0991	0.0013	0.089244	0.001450	1.217097	0.002998
0.4010	0.2633	0.0025	-1.1165	0.0014	0.100075	0.001538	1.256116	0.002927
0.4040	0.2823	0.0026	-1.1345	0.0014	0.113750	0.001786	1.296994	0.003212
0.4070	0.3028	0.0028	-1.1536	0.0015	0.128546	0.001855	1.341313	0.003348
0.4100	0.3243	0.0028	-1.1735	0.0015	0.144987	0.002104	1.388068	0.003437
0.4130	0.3520	0.0030	-1.1951	0.0016	0.166820	0.002164	1.439961	0.003877
0.4160	0.3802	0.0031	-1.2164	0.0016	0.191097	0.002438	1.492019	0.003880
0.4190	0.4116	0.0031	-1.2407	0.0016	0.217867	0.002562	1.552039	0.003991
0.4220	0.4460	0.0032	-1.2669	0.0016	0.248846	0.002702	1.619208	0.004215
0.4250	0.4851	0.0032	-1.2940	0.0017	0.285453	0.002861	1.688968	0.004482
0.4280	0.5206	0.0032	-1.3206	0.0017	0.320924	0.002917	1.759186	0.004462
0.4310	0.5566	0.0030	-1.3480	0.0017	0.357614	0.003046	1.832630	0.004479
0.4340	0.5971	0.0030	-1.3777	0.0018	0.400887	0.003012	1.913610	0.004626
0.4370	0.6338	0.0028	-1.4052	0.0018	0.440370	0.002974	1.989703	0.004718
0.4400	0.6679	0.0026	-1.4332	0.0017	0.479906	0.002775	2.068353	0.004872
0.4430	0.6990	0.0024	-1.4595	0.0017	0.517460	0.002699	2.143517	0.004580
0.4460	0.7264	0.0022	-1.4838	0.0016	0.551053	0.002579	2.214612	0.004793
0.4490	0.7507	0.0019	-1.5084	0.0016	0.582613	0.002433	2.287285	0.004529
0.4520	0.7718	0.0018	-1.5299	0.0015	0.611117	0.002161	2.352079	0.004475
0.4550	0.7895	0.0016	-1.5501	0.0014	0.636016	0.002159	2.413480	0.004541
0.4580	0.8046	0.0014	-1.5687	0.0014	0.657835	0.001863	2.470791	0.004321
0.4610	0.8202	0.0013	-1.5876	0.0014	0.680513	0.001784	2.529584	0.004293
0.4640	0.8323	0.0011	-1.6041	0.0013	0.699282	0.001706	2.581811	0.004189
0.4670	0.8426	0.0010	-1.6200	0.0013	0.715393	0.001572	2.632695	0.004245
0.4700	0.8515	0.0010	-1.6340	0.0013	0.729715	0.001511	2.677354	0.003976
0.4730	0.8603	0.0008	-1.6482	0.0012	0.744004	0.001314	2.723551	0.003849
0.4760	0.8682	0.0008	-1.6613	0.0011	0.757071	0.001323	2.766936	0.003763
0.4790	0.8755	0.0007	-1.6743	0.0012	0.769232	0.001190	2.809426	0.003778
0.4820	0.8812	0.0007	-1.6849	0.0011	0.779044	0.001209	2.845471	0.003919
0.4850	0.8875	0.0006	-1.6962	0.0011	0.789761	0.001059	2.883198	0.003555
0.4880	0.8927	0.0006	-1.7069	0.0010	0.798816	0.001107	2.918936	0.003510
0.4910	0.8980	0.0006	-1.7173	0.0010	0.808124	0.000972	2.954554	0.003386
0.4940	0.9031	0.0006	-1.7278	0.0010	0.817053	0.000989	2.990311	0.003255
0.4970	0.9071	0.0005	-1.7365	0.0010	0.824211	0.000905	3.020453	0.003469
0.5000	0.9113	0.0005	-1.7455	0.0010	0.831659	0.000878	3.051152	0.003389
