#t	m	dm	e	de	x	dx	h	dh
0.3530	0.0718	0.0008	-0.8910	0.0006	0.008073	0.000163	0.795871	0.001122
0.3560	0.0743	0.0008	-0.9038	0.0006	0.008639	0.000165	0.818798	0.001137
0.3590	0.0772	0.0008	-0.9160	0.0006	0.009292	0.000193	0.841026	0.001160
0.3620	0.0790	0.0009	-0.9287	0.0006	0.009781	0.000191	0.864528	0.001193
0.3650	0.0820	0.0009	-0.9398	0.0007	0.010485	0.000203	0.885331	0.001257
0.3680	0.0852	0.0009	-0.9537	0.0006	0.011293	0.000228	0.911696	0.001207
0.3710	0.0882	0.0009	-0.9666	0.0007	0.012114	0.000233	0.936501	0.001268
0.3740	0.0911	0.0010	-0.9786	0.0007	0.013019	0.000251	0.959819	0.001317
0.3770	0.0955	0.0010	-0.9929	0.0007	0.014228	0.000275	0.987905	0.001327
0.3800	0.0994	0.0011	-1.0069	0.0007	0.015290	0.000289	1.015975	0.001342
0.3830	0.1040	0.0011	-1.0205	0.0007	0.016815	0.000330	1.043640	0.001387
0.3860	0.1091	0.0011	-1.0351	0.0007	0.018424	0.000343	1.073988	0.001423
0.3890	0.1149	0.0012	-1.0496	0.0007	0.020463	0.000393	1.104049	0.001500
0.3920	0.1201	0.0013	-1.0643	0.0007	0.022433	0.000440	1.135430	0.001557
0.3950	0.1279	0.0014	-1.0795	0.0007	0.025232	0.000474	1.167710	0.001499
0.3980	0.1365	0.0014	-1.0958	0.0007	0.028720	0.000538	1.203600	0.001605
0.4010	0.1461	0.0016	-1.1117	0.0007	0.032737	0.000597	1.238430	0.001660
0.4040	0.1551	0.0015	-1.1282	0.0007	0.036631	0.000671	1.275662	0.001768
0.4070	0.1675	0.0017	-1.1454	0.0008	0.042491	0.000736	1.314857	0.001723
0.4100	0.1825	0.0019	-1.1631	0.0008	0.050059	0.000869	1.355630	0.001802
0.4130	0.2002	0.0020	-1.1823	0.0008	0.059724	0.001067	1.400966	0.001863
0.4160	0.2237	0.0021	-1.2016	0.0008	0.073195	0.001177	1.447336	0.001962
0.4190	0.2486	0.0023	-1.2223	0.0008	0.088720	0.001375	1.497340	0.002022
0.4220	0.2792	0.0026	-1.2443	0.0008	0.109603	0.001581	1.552157	0.002162
0.4250	0.3201	0.0027	-1.2687	0.0009	0.138720	0.001816	1.613995	0.002261
0.4280	0.3695	0.0028	-1.2952	0.0010	0.177115	0.002160	1.681983	0.002469
0.4310	0.4267	0.0030	-1.3252	0.0010	0.225325	0.002383	1.761123	0.002663
0.4340	0.4878	0.0028	-1.3559	0.0010	0.280247	0.002525	1.843719	0.002709
0.4370	0.5569	0.0026	-1.3892	0.0010	0.347030	0.002551	1.935010	0.002908
0.4400	0.6148	0.0024	-1.4209	0.0010	0.408255	0.002521	2.024107	0.002957
0.4430	0.6652	0.0020	-1.4510	0.0010	0.464788	0.002312	2.110388	0.002935
0.4460	0.7068	0.0018	-1.4795	0.0009	0.515352	0.002046	2.193346	0.002830
0.4490	0.7416	0.0014	-1.5056	0.0009	0.560140	0.001845	2.270647	0.002648
0.4520	0.7663	0.0012	-1.5288	0.0009	0.594608	0.001628	2.340523	0.002757
0.4550	0.7873	0.0010	-1.5490	0.0008	0.624849	0.001352	2.402751	0.002552
0.4580	0.8047	0.0008	-1.5687	0.0008	0.651264	0.001302	2.464070	0.002438
0.4610	0.8189	0.0007	-1.5870	0.0007	0.673345	0.001176	2.521127	0.002468
0.4640	0.8315	0.0006	-1.6037	0.0007	0.693642	0.001032	2.574527	0.002297
0.4670	0.8423	0.0006	-1.6192	0.0007	0.711075	0.000928	2.624238	0.002254
0.4700	0.8520	0.0005	-1.6344	0.0007	0.727320	0.000862	2.673517	0.002289
0.4730	0.8607	0.0005	-1.6482	0.0007	0.741993	0.000799	2.718786	0.002334
0.4760	0.8682	0.0004	-1.6615	0.0007	0.754827	0.000768	2.762648	0.002119
0.4790	0.8752	0.0004	-1.6735	0.0006	0.766920	0.000696	2.802792	0.002142
0.4820	0.8817	0.0004	-1.6855	0.0006	0.778180	0.000669	2.842796	0.002139
0.4850	0.8878	0.0004	-1.6969	0.0006	0.788848	0.000634	2.881051	0.002064
0.4880	0.8931	0.0003	-1.7075	0.0006	0.798274	0.000596	2.917226	0.002021
0.4910	0.8981	0.0003	-1.7175	0.0006	0.807176	0.000564	2.951287	0.001999
0.4940	0.9031	0.0003	-1.7279	0.0006	0.816067	0.000544	2.987243	0.001897
0.4970	0.9073	0.0003	-1.7366	0.0005	0.823636	0.000538	3.017416	0.001894
0.5000	0.9114	0.0003	-1.7456	0.0005	0.830929	0.000491	3.048591	0.001906
