#t	c1	dc1	c2	dc2	c2	dc3	c4	dc4	c5	dc5	m	dm	e	de	m1	dm1	x	dx	h	dh
0.1500	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.2000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.2500	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0000	-0.0000	0.0000	-0.0000
0.3000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0002	-0.0000	0.0000	-0.0000
0.3500	0.9998	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0015	-0.0000	0.0000	-0.0000
0.4000	1.0000	0.0000	1.0000	0.0000	0.9999	0.0000	0.9999	0.0000	0.9998	0.0000	0.9999	0.0000	1.9998	0.0000	0.9999	0.0000	0.0048	-0.0000	0.0002	-0.0000
0.4500	0.9987	0.0000	0.9983	0.0000	0.9981	0.0000	0.9983	0.0000	0.9983	0.0000	0.9997	0.0000	1.9994	0.0000	0.9997	0.0000	0.0112	-0.0000	0.0006	-0.0000
0.5000	0.9973	0.0000	0.9973	0.0000	0.9972	0.0000	0.9973	0.0000	0.9976	0.0000	0.9993	0.0000	1.9986	0.0000	0.9993	0.0000	0.0230	-0.0000	0.0016	-0.0000
0.5500	0.9990	0.0000	0.9983	0.0000	0.9983	0.0000	0.9984	0.0000	0.9984	0.0000	0.9984	0.0000	1.9970	0.0000	0.9984	0.0000	0.0417	-0.0000	0.0035	-0.0000
0.6000	0.9932	0.0000	0.9918	0.0000	0.9930	0.0000	0.9920	0.0000	0.9921	0.0000	0.9970	0.0000	1.9943	0.0000	0.9970	0.0000	0.0685	-0.0000	0.0073	-0.0000
0.6500	0.9872	0.0000	0.9861	0.0000	0.9873	0.0000	0.9866	0.0000	0.9873	0.0000	0.9948	0.0000	1.9902	0.0000	0.9948	0.0000	0.0965	-0.0000	0.0130	-0.0000
0.7000	0.9840	0.0000	0.9813	0.0000	0.9823	0.0000	0.9822	0.0000	0.9831	0.0000	0.9915	0.0000	1.9842	0.0000	0.9915	0.0000	0.1402	-0.0000	0.0231	-0.0000
0.7500	0.9733	0.0001	0.9702	0.0001	0.9713	0.0001	0.9718	0.0001	0.9717	0.0001	0.9866	0.0000	1.9757	0.0000	0.9866	0.0000	0.2013	-0.0000	0.0410	-0.0000
0.8000	0.9692	0.0001	0.9617	0.0001	0.9609	0.0001	0.9615	0.0001	0.9616	0.0001	0.9798	0.0000	1.9643	0.0000	0.9798	0.0000	0.2694	-0.0000	0.0697	-0.0000
0.8500	0.9540	0.0001	0.9475	0.0001	0.9463	0.0001	0.9490	0.0001	0.9473	0.0001	0.9702	0.0000	1.9492	0.0000	0.9702	0.0000	0.3439	-0.0000	0.1188	-0.0000
0.9000	0.9357	0.0001	0.9197	0.0001	0.9197	0.0001	0.9187	0.0001	0.9208	0.0001	0.9567	0.0000	1.9295	0.0000	0.9567	0.0000	0.4481	-0.0000	0.2132	-0.0000
0.9500	0.8997	0.0001	0.8812	0.0001	0.8784	0.0001	0.8774	0.0001	0.8757	0.0001	0.9384	0.0000	1.9047	0.0000	0.9384	0.0000	0.5671	-0.0000	0.3681	-0.0001
1.0000	0.8727	0.0001	0.8423	0.0001	0.8284	0.0001	0.8260	0.0001	0.8233	0.0001	0.9116	0.0000	1.8730	0.0000	0.9116	0.0000	0.7142	-0.0000	0.7466	-0.0002
1.0100	0.8647	0.0000	0.8376	0.0000	0.8256	0.0000	0.8177	0.0000	0.8166	0.0000	0.9042	0.0000	1.8653	0.0000	0.9042	0.0000	0.7663	-0.0000	0.9325	0.0001
1.0200	0.8590	0.0000	0.8281	0.0000	0.8168	0.0000	0.8123	0.0000	0.8095	0.0000	0.8970	0.0000	1.8576	0.0000	0.8970	0.0000	0.8047	-0.0000	1.0476	0.0001
1.0300	0.8521	0.0000	0.8228	0.0000	0.8117	0.0000	0.8019	0.0000	0.7996	0.0000	0.8888	0.0000	1.8495	0.0000	0.8888	0.0000	0.8463	-0.0000	1.3117	0.0001
1.0400	0.8436	0.0000	0.8068	0.0000	0.7910	0.0000	0.7836	0.0000	0.7811	0.0000	0.8791	0.0000	1.8404	0.0000	0.8791	0.0000	0.9125	-0.0000	1.6685	0.0002
1.0500	0.8335	0.0000	0.7984	0.0000	0.7763	0.0000	0.7678	0.0000	0.7660	0.0000	0.8687	0.0000	1.8310	0.0000	0.8687	0.0000	0.9646	-0.0000	2.0359	0.0002
1.0600	0.8252	0.0000	0.7820	0.0000	0.7630	0.0000	0.7506	0.0000	0.7457	0.0000	0.8573	0.0000	1.8213	0.0000	0.8573	0.0000	1.0312	-0.0000	2.4318	0.0002
1.0700	0.8173	0.0000	0.7692	0.0000	0.7456	0.0000	0.7336	0.0000	0.7257	0.0000	0.8427	0.0000	1.8103	0.0000	0.8427	0.0000	1.0828	-0.0000	3.3657	0.0005
1.0800	0.7906	0.0000	0.7444	0.0000	0.7219	0.0000	0.7106	0.0000	0.7017	0.0000	0.8271	0.0000	1.7987	0.0000	0.8271	0.0000	1.1801	-0.0000	4.5849	0.0007
1.0900	0.7849	0.0000	0.7362	0.0000	0.7073	0.0000	0.6909	0.0000	0.6835	0.0000	0.8076	0.0000	1.7864	0.0000	0.8076	0.0000	1.3033	-0.0000	7.2255	0.0016
1.1000	0.7728	0.0000	0.7133	0.0000	0.6824	0.0000	0.6639	0.0000	0.6511	0.0000	0.7854	0.0000	1.7735	0.0000	0.7854	0.0000	1.4245	-0.0000	10.3510	0.0022
