#t	c1	dc1	c2	dc2	c2	dc3	c4	dc4	c5	dc5	m	dm	e	de	m1	dm1	x	dx	h	dh
0.1500	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.2000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.2500	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.3000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0011	0.0000	0.0000	0.0000
0.3500	0.9996	0.0000	0.9995	0.0000	0.9995	0.0000	0.9995	0.0000	0.9995	0.0000	0.9999	0.0000	1.9998	0.0000	0.9999	0.0000	0.0054	0.0000	0.0001	0.0000
0.4000	0.9995	0.0000	0.9997	0.0000	0.9998	0.0000	0.9998	0.0000	0.9999	0.0000	0.9998	0.0000	1.9993	0.0000	0.9998	0.0000	0.0181	0.0000	0.0003	0.0000
0.4500	0.9978	0.0000	0.9982	0.0000	0.9980	0.0000	0.9981	0.0000	0.9980	0.0000	0.9993	0.0000	1.9977	0.0000	0.9993	0.0000	0.0456	0.0000	0.0011	0.0000
0.5000	0.9970	0.0000	0.9967	0.0000	0.9962	0.0000	0.9970	0.0000	0.9973	0.0000	0.9982	0.0000	1.9943	0.0000	0.9982	0.0000	0.0964	0.0000	0.0031	0.0000
0.5500	0.9924	0.0000	0.9915	0.0000	0.9913	0.0000	0.9910	0.0000	0.9916	0.0000	0.9959	0.0000	1.9875	0.0000	0.9959	0.0000	0.1846	0.0000	0.0076	0.0000
0.6000	0.9851	0.0000	0.9830	0.0000	0.9842	0.0000	0.9846	0.0000	0.9839	0.0000	0.9920	0.0000	1.9758	0.0000	0.9920	0.0000	0.2880	0.0000	0.0149	0.0000
0.6500	0.9740	0.0000	0.9709	0.0000	0.9715	0.0000	0.9702	0.0000	0.9703	0.0000	0.9852	0.0000	1.9565	0.0000	0.9852	0.0000	0.4882	0.0000	0.0325	0.0000
0.7000	0.9543	0.0001	0.9493	0.0001	0.9478	0.0001	0.9477	0.0001	0.9480	0.0001	0.9737	0.0000	1.9254	0.0000	0.9737	0.0000	0.7778	0.0001	0.0677	0.0000
0.7500	0.9223	0.0001	0.9129	0.0001	0.9097	0.0001	0.9106	0.0001	0.9101	0.0001	0.9539	0.0000	1.8765	0.0000	0.9539	0.0000	1.2952	0.0001	0.1630	0.0000
0.8000	0.8747	0.0001	0.8531	0.0001	0.8452	0.0001	0.8441	0.0001	0.8436	0.0001	0.9139	0.0000	1.7917	0.0000	0.9138	0.0000	2.3163	0.0002	0.5045	0.0001
0.8500	0.7129	0.0001	0.6406	0.0001	0.5968	0.0001	0.5744	0.0001	0.5576	0.0001	0.6993	0.0000	1.5454	0.0000	0.6978	0.0000	22.5300	0.0075	49.1429	0.0328
0.9000	0.4272	0.0001	0.2714	0.0001	0.1773	0.0001	0.1261	0.0001	0.0831	0.0001	0.0788	0.0000	1.1022	0.0000	0.0617	0.0000	2.9961	0.0017	4.6155	0.0047
0.9500	0.3967	0.0001	0.2255	0.0001	0.1418	0.0001	0.0862	0.0001	0.0541	0.0001	0.0558	0.0000	0.9998	0.0000	0.0419	0.0000	1.8999	0.0011	2.0588	0.0006
1.0000	0.3077	0.0001	0.1418	0.0001	0.0892	0.0001	0.0371	0.0001	0.0129	0.0001	0.0457	0.0000	0.9354	0.0000	0.0346	0.0000	2.2298	0.0037	1.5104	0.0007
1.0500	0.2828	0.0001	0.0911	0.0001	0.0449	0.0001	0.0206	0.0001	0.0019	0.0000	0.0386	0.0000	0.8811	0.0000	0.0296	0.0000	1.9723	0.0026	1.1532	0.0006
1.1000	0.3389	0.0001	0.1530	0.0001	0.0684	0.0001	0.0136	0.0001	0.0128	0.0000	0.0370	0.0000	0.8433	0.0000	0.0285	0.0000	2.4293	0.0053	0.9880	0.0005
1.1500	0.2227	0.0001	0.1026	0.0001	0.0114	0.0001	0.0045	0.0001	0.0126	0.0000	0.0344	0.0000	0.8129	0.0000	0.0259	0.0000	1.8310	0.0047	0.8693	0.0004
1.2000	0.2799	0.0001	0.1272	0.0001	0.0329	0.0001	0.0231	0.0001	0.0117	0.0000	0.0347	0.0000	0.7852	0.0000	0.0255	0.0000	2.1254	0.0053	1.0568	0.0012
1.2500	0.2108	0.0001	0.0828	0.0001	0.0464	0.0001	0.0057	0.0000	0.0144	0.0000	0.0324	0.0000	0.7644	0.0000	0.0244	0.0000	2.6665	0.0077	1.0316	0.0023
1.3000	0.1913	0.0001	0.0922	0.0001	0.0317	0.0001	0.0074	0.0000	0.0063	0.0000	0.0289	0.0000	0.7444	0.0000	0.0225	0.0000	1.8854	0.0055	0.5596	0.0004
1.3500	0.1313	0.0001	0.0313	0.0001	0.0107	0.0001	0.0055	0.0000	0.0030	0.0000	0.0306	0.0000	0.7245	0.0000	0.0224	0.0000	1.8794	0.0057	0.7109	0.0011
1.4000	0.2602	0.0001	0.0819	0.0001	0.0302	0.0001	0.0106	0.0001	0.0034	0.0000	0.0284	0.0000	0.7026	0.0000	0.0205	0.0000	1.7595	0.0059	0.7940	0.0017
1.4500	0.1286	0.0001	0.0453	0.0001	0.0087	0.0000	0.0027	0.0000	0.0010	0.0000	0.0298	0.0000	0.6951	0.0000	0.0208	0.0000	2.1705	0.0070	1.3508	0.0058
1.5000	0.1511	0.0001	0.0196	0.0001	0.0188	0.0001	0.0015	0.0000	0.0048	0.0000	0.0276	0.0000	0.6849	0.0000	0.0203	0.0000	2.1916	0.0070	1.3227	0.0069
1.5500	0.1091	0.0001	0.0064	0.0001	0.0161	0.0001	0.0138	0.0000	0.0241	0.0000	0.0277	0.0000	0.6734	0.0000	0.0205	0.0000	2.2156	0.0079	0.7986	0.0018
