#t	c1	dc1	c2	dc2	c2	dc3	c4	dc4	c5	dc5	m	dm	e	de	m1	dm1	x	dx	h	dh
0.7500	0.9441	0.0000	0.9392	0.0000	0.9379	0.0000	0.9372	0.0000	0.9369	0.0000	0.9673	0.0000	1.9151	0.0000	0.9672	0.0000	0.7708	-0.0000	0.0930	-0.0000
0.8000	0.9086	0.0000	0.8967	0.0000	0.8938	0.0000	0.8925	0.0000	0.8925	0.0000	0.9458	0.0000	1.8676	0.0000	0.9458	0.0000	1.1528	-0.0000	0.2032	-0.0000
0.8500	0.8660	0.0000	0.8413	0.0000	0.8322	0.0000	0.8279	0.0000	0.8268	0.0000	0.9054	0.0000	1.7911	0.0000	0.9054	0.0000	1.9488	-0.0000	0.6059	-0.0000
0.9000	0.7509	0.0000	0.6921	0.0000	0.6613	0.0000	0.6452	0.0000	0.6353	0.0000	0.7801	0.0000	1.6337	0.0000	0.7796	0.0000	6.0222	-0.0003	8.5213	-0.0017
0.9500	0.5030	0.0000	0.3477	0.0000	0.2563	0.0000	0.1938	0.0000	0.1485	0.0000	0.1118	0.0000	1.2514	0.0000	0.0937	0.0000	2.7082	0.0000	8.8983	0.0008
1.0000	0.4405	0.0000	0.2698	0.0000	0.1697	0.0000	0.1087	0.0000	0.0734	0.0000	0.0712	0.0000	1.1449	0.0000	0.0577	0.0000	1.6257	0.0000	3.4266	0.0003
1.0500	0.4032	0.0000	0.2174	0.0000	0.1284	0.0000	0.0764	0.0000	0.0431	0.0000	0.0565	0.0000	1.0748	0.0000	0.0451	0.0000	1.1920	0.0000	2.2070	0.0002
1.1000	0.3487	0.0000	0.1711	0.0000	0.0909	0.0000	0.0498	0.0000	0.0258	0.0000	0.0487	0.0000	1.0231	0.0000	0.0387	0.0000	0.9467	0.0000	1.6742	0.0001
1.1500	0.3187	0.0000	0.1465	0.0000	0.0756	0.0000	0.0429	0.0000	0.0200	0.0000	0.0428	0.0000	0.9819	0.0000	0.0339	0.0000	0.8005	0.0000	1.2777	0.0001
1.2000	0.3120	0.0000	0.1404	0.0000	0.0724	0.0000	0.0288	0.0000	0.0117	0.0000	0.0397	0.0000	0.9480	0.0000	0.0314	0.0000	0.7346	0.0000	1.0881	0.0001
1.2500	0.2567	0.0000	0.1058	0.0000	0.0467	0.0000	0.0247	0.0000	0.0108	0.0000	0.0371	0.0000	0.9182	0.0000	0.0292	0.0000	0.5705	0.0000	0.9404	0.0001
1.3000	0.2590	0.0000	0.0894	0.0000	0.0342	0.0000	0.0137	0.0000	0.0075	0.0000	0.0353	0.0000	0.8931	0.0000	0.0277	0.0000	0.4944	0.0001	0.8481	0.0001
1.3500	0.2433	0.0000	0.0876	0.0000	0.0231	0.0000	0.0108	0.0000	0.0073	0.0000	0.0331	0.0000	0.8722	0.0000	0.0261	0.0000	0.4595	0.0001	0.7406	0.0001
1.4000	0.2543	0.0000	0.0847	0.0000	0.0284	0.0000	0.0048	0.0000	0.0025	0.0000	0.0324	0.0000	0.8526	0.0000	0.0253	0.0000	0.3885	0.0001	0.7391	0.0001
1.4500	0.2169	0.0000	0.0618	0.0000	0.0197	0.0000	0.0111	0.0000	0.0034	0.0000	0.0310	0.0000	0.8342	0.0000	0.0245	0.0000	0.3694	0.0001	0.6554	0.0001
1.5000	0.2177	0.0000	0.0603	0.0000	0.0123	0.0000	0.0064	0.0000	0.0033	0.0000	0.0299	0.0000	0.8194	0.0000	0.0235	0.0000	0.3540	0.0001	0.6036	0.0000
1.5500	0.2200	0.0000	0.0785	0.0000	0.0224	0.0000	0.0035	0.0000	0.0060	0.0000	0.0290	0.0000	0.8053	0.0000	0.0228	0.0000	0.3170	0.0001	0.5879	0.0001
1.6000	0.1959	0.0000	0.0506	0.0000	0.0183	0.0000	0.0066	0.0000	0.0038	0.0000	0.0285	0.0000	0.7927	0.0000	0.0222	0.0000	0.2826	0.0001	0.5446	0.0001
1.6500	0.1648	0.0000	0.0614	0.0000	0.0104	0.0000	0.0043	0.0000	0.0100	0.0000	0.0280	0.0000	0.7807	0.0000	0.0220	0.0000	0.2658	0.0001	0.5591	0.0001
1.7000	0.1809	0.0000	0.0464	0.0000	0.0089	0.0000	0.0003	0.0000	-0.0033	0.0000	0.0276	0.0000	0.7694	0.0000	0.0218	0.0000	0.2545	0.0001	0.5244	0.0000
1.7500	0.1808	0.0000	0.0496	0.0000	0.0084	0.0000	0.0066	0.0000	0.0031	0.0000	0.0267	0.0000	0.7603	0.0000	0.0205	0.0000	0.2458	0.0001	0.4817	0.0001
1.8000	0.1779	0.0000	0.0559	0.0000	0.0061	0.0000	0.0028	0.0000	0.0020	0.0000	0.0262	0.0000	0.7507	0.0000	0.0204	0.0000	0.2318	0.0001	0.5087	0.0001
1.8500	0.1820	0.0000	0.0391	0.0000	0.0109	0.0000	0.0054	0.0000	0.0055	0.0000	0.0262	0.0000	0.7427	0.0000	0.0204	0.0000	0.2253	0.0002	0.4746	0.0001
1.9000	0.1558	0.0000	0.0402	0.0000	0.0093	0.0000	-0.0001	0.0000	-0.0046	0.0000	0.0255	0.0000	0.7341	0.0000	0.0201	0.0000	0.2175	0.0002	0.4869	0.0002
1.9500	0.1462	0.0000	0.0377	0.0000	0.0014	0.0000	0.0078	0.0000	0.0036	0.0000	0.0255	0.0000	0.7274	0.0000	0.0196	0.0000	0.2170	0.0002	0.4533	0.0001
