#t	c1	dc1	c2	dc2	c2	dc3	c4	dc4	c5	dc5	m	dm	e	de	m1	dm1	x	dx	h	dh
0.1500	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.2000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.2500	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0002	-0.0000	0.0000	-0.0000
0.3000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.9999	0.0000	1.0000	0.0000	0.0027	-0.0000	0.0000	-0.0000
0.3500	0.9999	0.0000	1.0000	0.0000	0.9999	0.0000	0.9999	0.0000	0.9999	0.0000	0.9999	0.0000	1.9996	0.0000	0.9999	0.0000	0.0126	-0.0000	0.0002	-0.0000
0.4000	0.9992	0.0000	0.9992	0.0000	0.9990	0.0000	0.9992	0.0000	0.9991	0.0000	0.9995	0.0000	1.9983	0.0000	0.9995	0.0000	0.0425	-0.0000	0.0007	-0.0000
0.4500	0.9976	0.0000	0.9973	0.0000	0.9971	0.0000	0.9972	0.0000	0.9976	0.0000	0.9985	0.0000	1.9946	0.0000	0.9985	0.0000	0.1074	-0.0000	0.0024	-0.0000
0.5000	0.9897	0.0000	0.9889	0.0000	0.9890	0.0000	0.9893	0.0000	0.9887	0.0000	0.9961	0.0000	1.9863	0.0000	0.9961	0.0000	0.2214	-0.0000	0.0064	-0.0000
0.5500	0.9838	0.0000	0.9828	0.0000	0.9836	0.0000	0.9830	0.0000	0.9831	0.0000	0.9910	0.0000	1.9694	0.0000	0.9910	0.0000	0.4404	-0.0000	0.0167	-0.0000
0.6000	0.9630	0.0001	0.9618	0.0001	0.9631	0.0001	0.9616	0.0000	0.9611	0.0000	0.9808	0.0000	1.9371	0.0000	0.9809	0.0000	0.8916	-0.0001	0.0438	-0.0000
0.6500	0.9328	0.0001	0.9269	0.0001	0.9248	0.0001	0.9236	0.0001	0.9214	0.0001	0.9589	0.0000	1.8732	0.0000	0.9589	0.0000	1.8575	-0.0001	0.1350	-0.0000
0.7000	0.8242	0.0001	0.7884	0.0001	0.7752	0.0001	0.7677	0.0001	0.7641	0.0001	0.8684	0.0000	1.6813	0.0000	0.8685	0.0000	12.6034	-0.0027	2.8055	-0.0012
0.7500	0.2826	0.0001	0.1275	0.0001	0.0679	0.0001	0.0351	0.0000	0.0182	0.0000	0.0426	0.0000	0.7430	0.0000	0.0283	0.0000	3.6545	0.0026	1.2640	0.0003
0.8000	0.2158	0.0001	0.0793	0.0001	0.0322	0.0000	0.0097	0.0000	0.0050	0.0000	0.0350	0.0000	0.6545	0.0000	0.0225	0.0000	2.6779	0.0040	0.8505	0.0003
0.8500	0.2296	0.0001	0.1075	0.0001	0.0448	0.0000	0.0188	0.0000	0.0004	0.0000	0.0312	0.0000	0.5977	0.0000	0.0196	0.0000	2.5259	0.0053	0.6555	0.0002
0.9000	0.1474	0.0001	0.0555	0.0001	0.0264	0.0000	0.0157	0.0000	0.0062	0.0000	0.0289	0.0000	0.5527	0.0000	0.0183	0.0000	2.1206	0.0062	0.6096	0.0002
0.9500	0.2018	0.0001	0.0532	0.0001	0.0069	0.0000	0.0034	0.0000	0.0028	0.0000	0.0277	0.0000	0.5192	0.0000	0.0174	0.0000	2.1343	0.0064	0.5612	0.0003
1.0000	0.1533	0.0001	0.0242	0.0001	0.0057	0.0000	0.0141	0.0000	0.0073	0.0000	0.0271	0.0000	0.4907	0.0000	0.0162	0.0000	1.7009	0.0058	0.5712	0.0003
1.0500	0.1331	0.0001	0.0434	0.0000	0.0042	0.0000	0.0031	0.0000	0.0052	0.0000	0.0258	0.0000	0.4712	0.0000	0.0157	0.0000	1.7671	0.0062	0.4670	0.0003
1.1000	0.0990	0.0001	0.0268	0.0000	0.0102	0.0000	0.0051	0.0000	-0.0009	0.0000	0.0233	0.0000	0.4523	0.0000	0.0151	0.0000	1.8134	0.0067	0.3804	0.0002
1.1500	0.1645	0.0001	0.0306	0.0000	0.0051	0.0000	-0.0020	0.0000	0.0030	0.0000	0.0234	0.0000	0.4353	0.0000	0.0151	0.0000	1.5324	0.0058	0.4227	0.0004
1.2000	0.1514	0.0001	0.0337	0.0000	0.0022	0.0000	0.0009	0.0000	0.0030	0.0000	0.0240	0.0000	0.4203	0.0000	0.0146	0.0000	1.4872	0.0060	0.4792	0.0007
1.2500	0.1157	0.0001	0.0217	0.0000	-0.0116	0.0000	-0.0055	0.0000	0.0056	0.0000	0.0240	0.0000	0.4073	0.0000	0.0150	0.0000	1.4307	0.0061	0.3987	0.0002
1.3000	0.1313	0.0001	0.0112	0.0000	-0.0017	0.0000	0.0010	0.0000	0.0046	0.0000	0.0226	0.0000	0.3974	0.0000	0.0142	0.0000	1.3053	0.0055	0.3455	0.0001
1.3500	0.1081	0.0001	0.0209	0.0000	-0.0017	0.0000	-0.0022	0.0000	-0.0003	0.0000	0.0234	0.0000	0.3878	0.0000	0.0143	0.0000	1.3371	0.0061	0.4499	0.0004
1.4000	0.0929	0.0001	0.0024	0.0000	-0.0038	0.0000	0.0037	0.0000	-0.0022	0.0000	0.0224	0.0000	0.3795	0.0000	0.0138	0.0000	1.2629	0.0058	0.4910	0.0018
1.4500	0.0774	0.0001	0.0137	0.0000	0.0140	0.0000	-0.0051	0.0000	0.0059	0.0000	0.0213	0.0000	0.3696	0.0000	0.0138	0.0000	1.3391	0.0058	0.3764	0.0002
1.5000	0.0885	0.0001	0.0197	0.0000	0.0127	0.0000	-0.0013	0.0000	-0.0084	0.0000	0.0217	0.0000	0.3622	0.0000	0.0137	0.0000	1.1898	0.0054	0.4660	0.0010
