#t	c1	dc1	c2	dc2	c2	dc3	c4	dc4	c5	dc5	m	dm	e	de	m1	dm1	x	dx	h	dh
0.1500	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.2000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.2500	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0005	-0.0000	0.0000	-0.0000
0.3000	1.0000	0.0000	1.0000	0.0000	0.9999	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.9999	0.0000	1.0000	0.0000	0.0055	-0.0000	0.0000	-0.0000
0.3500	0.9992	0.0000	0.9989	0.0000	0.9992	0.0000	0.9990	0.0000	0.9990	0.0000	0.9998	0.0000	1.9991	0.0000	0.9998	0.0000	0.0292	-0.0000	0.0004	-0.0000
0.4000	0.9981	0.0000	0.9982	0.0000	0.9985	0.0000	0.9986	0.0000	0.9983	0.0000	0.9990	0.0000	1.9963	0.0000	0.9990	0.0000	0.0983	-0.0000	0.0016	-0.0000
0.4500	0.9935	0.0000	0.9936	0.0000	0.9935	0.0000	0.9939	0.0000	0.9936	0.0000	0.9969	0.0000	1.9883	0.0000	0.9969	0.0000	0.2550	-0.0000	0.0056	-0.0000
0.5000	0.9857	0.0000	0.9851	0.0000	0.9857	0.0000	0.9855	0.0000	0.9857	0.0000	0.9912	0.0000	1.9684	0.0000	0.9912	0.0000	0.5750	-0.0001	0.0165	-0.0000
0.5500	0.9605	0.0001	0.9578	0.0001	0.9580	0.0001	0.9569	0.0000	0.9570	0.0000	0.9767	0.0000	1.9203	0.0000	0.9768	0.0000	1.4956	-0.0001	0.0592	-0.0000
0.6000	0.1653	0.0001	0.0608	0.0001	0.0298	0.0000	0.0195	0.0000	0.0173	0.0000	0.0480	0.0000	0.5927	0.0000	0.0329	0.0000	104.7476	0.2708	20.6896	0.0566
0.6500	0.1340	0.0001	0.0500	0.0000	0.0145	0.0000	-0.0034	0.0000	-0.0009	0.0000	0.0296	0.0000	0.4633	0.0000	0.0161	0.0000	10.5011	0.0302	1.0350	0.0054
0.7000	0.1325	0.0001	0.0424	0.0000	0.0147	0.0000	0.0011	0.0000	0.0003	0.0000	0.0268	0.0000	0.4016	0.0000	0.0136	0.0000	6.4917	0.0195	0.5407	0.0007
0.7500	0.1555	0.0001	0.0336	0.0000	0.0078	0.0000	0.0079	0.0000	0.0055	0.0000	0.0254	0.0000	0.3623	0.0000	0.0128	0.0000	6.6186	0.0226	0.4438	0.0001
0.8000	0.1012	0.0001	0.0393	0.0000	0.0017	0.0000	0.0021	0.0000	-0.0007	0.0000	0.0220	0.0000	0.3333	0.0000	0.0121	0.0000	5.5412	0.0195	0.3809	0.0003
0.8500	0.1544	0.0001	0.0232	0.0000	0.0020	0.0000	0.0049	0.0000	0.0064	0.0000	0.0229	0.0000	0.3056	0.0000	0.0119	0.0000	4.2270	0.0151	0.3722	0.0002
0.9000	0.1037	0.0001	0.0108	0.0000	-0.0020	0.0000	0.0036	0.0000	0.0104	0.0000	0.0214	0.0000	0.2883	0.0000	0.0114	0.0000	4.1664	0.0154	0.3477	0.0001
0.9500	0.0746	0.0001	0.0118	0.0000	0.0138	0.0000	-0.0036	0.0000	-0.0046	0.0000	0.0223	0.0000	0.2706	0.0000	0.0112	0.0000	4.3417	0.0171	0.3618	0.0002
1.0000	0.0749	0.0001	0.0061	0.0000	0.0053	0.0000	-0.0066	0.0000	-0.0049	0.0000	0.0204	0.0000	0.2604	0.0000	0.0108	0.0000	3.5424	0.0148	0.2825	0.0001
1.0500	0.0815	0.0001	0.0082	0.0000	0.0032	0.0000	0.0036	0.0000	0.0038	0.0000	0.0210	0.0000	0.2468	0.0000	0.0111	0.0000	3.2487	0.0139	0.3431	0.0002
1.1000	0.0549	0.0001	0.0125	0.0000	0.0068	0.0000	0.0077	0.0000	0.0010	0.0000	0.0203	0.0000	0.2394	0.0000	0.0110	0.0000	3.4245	0.0143	0.3218	0.0002
1.1500	0.0413	0.0000	0.0119	0.0000	-0.0016	0.0000	-0.0020	0.0000	-0.0022	0.0000	0.0215	0.0000	0.2293	0.0000	0.0108	0.0000	3.0524	0.0132	0.3968	0.0006
1.2000	0.0796	0.0001	0.0085	0.0000	-0.0069	0.0000	0.0032	0.0000	0.0054	0.0000	0.0214	0.0000	0.2244	0.0000	0.0106	0.0000	2.8851	0.0133	0.7247	0.0025
1.2500	0.0858	0.0001	0.0076	0.0000	0.0004	0.0000	0.0014	0.0000	0.0059	0.0000	0.0211	0.0000	0.2164	0.0000	0.0106	0.0000	2.8592	0.0129	0.6059	0.0021
1.3000	0.0546	0.0000	0.0081	0.0000	-0.0013	0.0000	0.0007	0.0000	0.0007	0.0000	0.0209	0.0000	0.2092	0.0000	0.0104	0.0000	2.4832	0.0112	0.3709	0.0006
1.3500	0.0542	0.0001	0.0012	0.0000	0.0063	0.0000	0.0018	0.0000	-0.0047	0.0000	0.0205	0.0000	0.2033	0.0000	0.0104	0.0000	2.7228	0.0124	0.7163	0.0033
1.4000	0.0758	0.0001	0.0154	0.0000	-0.0026	0.0000	0.0056	0.0000	0.0014	0.0000	0.0213	0.0000	0.2006	0.0000	0.0105	0.0000	2.3060	0.0105	0.4130	0.0012
1.4500	0.0441	0.0001	0.0025	0.0000	-0.0015	0.0000	-0.0028	0.0000	-0.0076	0.0000	0.0205	0.0000	0.1963	0.0000	0.0105	0.0000	2.2275	0.0113	0.9033	0.0049
1.5000	0.0395	0.0001	-0.0031	0.0000	-0.0037	0.0000	-0.0079	0.0000	-0.0015	0.0000	0.0203	0.0000	0.1902	0.0000	0.0107	0.0000	2.0196	0.0100	0.4244	0.0009
