#t	c1	dc1	c2	dc2	c2	dc3	c4	dc4	c5	dc5	m	dm	e	de	m1	dm1	x	dx	h	dh
#1.1000	0.4842	0.0000	0.3122	0.0000	0.2106	0.0000	0.1491	0.0000	0.1091	0.0000	0.0877	0.0000	1.3013	0.0000	0.0746	0.0000	1.3721	0.0000	5.3304	0.0004
#1.1100	0.4799	0.0000	0.2971	0.0000	0.1921	0.0000	0.1387	0.0000	0.0891	0.0000	0.0838	0.0000	1.2898	0.0000	0.0712	0.0000	1.2168	0.0000	4.8440	0.0004
#1.1200	0.4701	0.0000	0.2943	0.0000	0.1919	0.0000	0.1291	0.0000	0.0867	0.0000	0.0797	0.0000	1.2770	0.0000	0.0678	0.0000	1.1811	0.0000	4.1956	0.0004
#1.1300	0.4347	0.0000	0.2597	0.0000	0.1756	0.0000	0.1243	0.0000	0.0906	0.0000	0.0760	0.0000	1.2663	0.0000	0.0643	0.0000	1.2226	0.0000	3.9482	0.0003
#1.1400	0.4574	0.0000	0.2845	0.0000	0.1744	0.0000	0.1114	0.0000	0.0781	0.0000	0.0732	0.0000	1.2531	0.0000	0.0617	0.0000	1.0907	0.0000	3.6194	0.0003
#1.1500	0.4333	0.0000	0.2708	0.0000	0.1724	0.0000	0.1208	0.0000	0.0769	0.0000	0.0694	0.0000	1.2431	0.0000	0.0587	0.0000	0.9581	0.0000	3.3404	0.0003
#1.1600	0.3998	0.0000	0.2296	0.0000	0.1451	0.0000	0.1030	0.0000	0.0768	0.0000	0.0668	0.0000	1.2338	0.0000	0.0565	0.0000	0.9698	0.0000	3.0606	0.0003
#1.1700	0.4214	0.0000	0.2468	0.0000	0.1597	0.0000	0.1025	0.0000	0.0630	0.0000	0.0641	0.0000	1.2241	0.0000	0.0539	0.0000	0.9416	0.0000	2.7869	0.0002
#1.1800	0.4086	0.0000	0.2422	0.0000	0.1355	0.0000	0.0872	0.0000	0.0564	0.0000	0.0631	0.0000	1.2150	0.0000	0.0532	0.0000	0.8774	0.0000	2.7045	0.0002
#1.1900	0.3873	0.0000	0.2257	0.0000	0.1229	0.0000	0.0828	0.0000	0.0503	0.0000	0.0619	0.0000	1.2069	0.0000	0.0521	0.0000	0.8895	0.0000	2.5962	0.0002
#1.2000	0.4097	0.0000	0.2276	0.0000	0.1366	0.0000	0.0879	0.0000	0.0491	0.0000	0.0592	0.0000	1.2000	0.0000	0.0500	0.0000	0.8254	0.0000	2.3854	0.0002
