#t	c1	dc1	c2	dc2	c2	dc3	c4	dc4	c5	dc5	m	dm	e	de	m1	dm1	x	dx	h	dh
0.1500	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.2000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.2500	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0001	-0.0000	0.0000	-0.0000
0.3000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0010	-0.0000	0.0000	-0.0000
0.3500	0.9999	0.0000	1.0000	0.0000	1.0000	0.0000	0.9999	0.0000	1.0000	0.0000	1.0000	0.0000	1.9999	0.0000	1.0000	0.0000	0.0045	-0.0000	0.0001	-0.0000
0.4000	0.9999	0.0000	0.9998	0.0000	0.9999	0.0000	0.9997	0.0000	0.9998	0.0000	0.9998	0.0000	1.9994	0.0000	0.9998	0.0000	0.0146	-0.0000	0.0003	-0.0000
0.4500	0.9988	0.0000	0.9986	0.0000	0.9990	0.0000	0.9990	0.0000	0.9988	0.0000	0.9994	0.0000	1.9982	0.0000	0.9994	0.0000	0.0352	-0.0000	0.0010	-0.0000
0.5000	0.9969	0.0000	0.9973	0.0000	0.9974	0.0000	0.9975	0.0000	0.9973	0.0000	0.9985	0.0000	1.9957	0.0000	0.9985	0.0000	0.0741	-0.0000	0.0025	-0.0000
0.5500	0.9910	0.0000	0.9915	0.0000	0.9907	0.0000	0.9905	0.0000	0.9911	0.0000	0.9968	0.0000	1.9907	0.0000	0.9968	0.0000	0.1374	-0.0000	0.0061	-0.0000
0.6000	0.9888	0.0000	0.9876	0.0000	0.9881	0.0000	0.9890	0.0000	0.9886	0.0000	0.9937	0.0000	1.9821	0.0000	0.9937	0.0000	0.2156	-0.0000	0.0121	-0.0000
0.6500	0.9804	0.0000	0.9787	0.0000	0.9779	0.0000	0.9783	0.0000	0.9781	0.0000	0.9886	0.0000	1.9683	0.0000	0.9886	0.0000	0.3371	-0.0000	0.0230	-0.0000
0.7000	0.9671	0.0001	0.9658	0.0000	0.9667	0.0000	0.9670	0.0000	0.9651	0.0000	0.9805	0.0000	1.9470	0.0000	0.9804	0.0000	0.5237	-0.0000	0.0464	-0.0000
0.7500	0.9424	0.0001	0.9367	0.0001	0.9366	0.0001	0.9351	0.0001	0.9354	0.0001	0.9675	0.0000	1.9157	0.0000	0.9675	0.0000	0.7735	-0.0000	0.0933	-0.0000
0.8000	0.9106	0.0001	0.8974	0.0001	0.8931	0.0001	0.8945	0.0001	0.8937	0.0001	0.9460	0.0000	1.8679	0.0000	0.9460	0.0000	1.1597	-0.0001	0.2060	-0.0000
0.8500	0.8577	0.0001	0.8336	0.0001	0.8258	0.0001	0.8217	0.0001	0.8176	0.0001	0.9055	0.0000	1.7911	0.0000	0.9054	0.0000	1.9237	-0.0001	0.5806	-0.0001
0.9000	0.7516	0.0001	0.6928	0.0001	0.6637	0.0001	0.6487	0.0001	0.6388	0.0001	0.7797	0.0000	1.6327	0.0000	0.7792	0.0000	5.8277	-0.0005	7.3494	-0.0027
0.9500	0.4741	0.0001	0.3373	0.0001	0.2548	0.0001	0.2068	0.0001	0.1627	0.0001	0.1145	0.0000	1.2550	0.0000	0.0958	0.0000	2.7568	0.0003	9.2112	0.0031
1.0000	0.4359	0.0001	0.2476	0.0001	0.1692	0.0001	0.1087	0.0001	0.0768	0.0001	0.0725	0.0000	1.1473	0.0000	0.0585	0.0000	1.7867	0.0005	3.4956	0.0011
1.0500	0.3234	0.0001	0.1829	0.0001	0.1117	0.0001	0.0697	0.0001	0.0491	0.0001	0.0556	0.0000	1.0754	0.0000	0.0446	0.0000	1.4095	0.0008	2.1198	0.0006
1.1000	0.3542	0.0001	0.2024	0.0001	0.1061	0.0001	0.0669	0.0001	0.0455	0.0001	0.0497	0.0000	1.0263	0.0000	0.0398	0.0000	1.2848	0.0013	1.7504	0.0007
1.1500	0.2916	0.0001	0.1306	0.0001	0.0741	0.0001	0.0315	0.0001	-0.0069	0.0001	0.0436	0.0000	0.9853	0.0000	0.0347	0.0000	1.2037	0.0016	1.3764	0.0015
1.2000	0.2979	0.0001	0.1634	0.0001	0.0721	0.0001	0.0283	0.0001	0.0287	0.0001	0.0383	0.0000	0.9483	0.0000	0.0305	0.0000	1.1081	0.0019	1.1598	0.0004
1.2500	0.2133	0.0001	0.1159	0.0001	0.0619	0.0001	0.0318	0.0001	0.0219	0.0001	0.0362	0.0000	0.9192	0.0000	0.0290	0.0000	1.2865	0.0032	0.9607	0.0004
1.3000	0.3604	0.0001	0.1083	0.0001	0.0356	0.0001	0.0211	0.0001	0.0106	0.0000	0.0353	0.0000	0.8964	0.0000	0.0274	0.0000	1.2919	0.0030	0.9864	0.0013
1.3500	0.2402	0.0001	0.0819	0.0001	0.0564	0.0001	0.0357	0.0001	0.0215	0.0001	0.0336	0.0000	0.8725	0.0000	0.0258	0.0000	1.3008	0.0032	0.7501	0.0007
1.4000	0.2273	0.0001	0.0574	0.0001	0.0347	0.0001	0.0139	0.0001	0.0118	0.0000	0.0329	0.0000	0.8538	0.0000	0.0260	0.0000	1.2072	0.0035	0.8517	0.0005
1.4500	0.2384	0.0001	0.0666	0.0001	0.0213	0.0001	0.0113	0.0001	0.0124	0.0000	0.0306	0.0000	0.8363	0.0000	0.0240	0.0000	1.3491	0.0039	0.7116	0.0003
1.5000	0.1841	0.0001	0.0462	0.0001	0.0335	0.0001	0.0139	0.0001	0.0237	0.0000	0.0299	0.0000	0.8210	0.0000	0.0234	0.0000	1.3604	0.0045	0.6540	0.0002
