#t	c1	dc1	c2	dc2	c2	dc3	c4	dc4	c5	dc5	m	dm	e	de	m1	dm1	x	dx	h	dh
0.1500	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.2000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.2500	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0001	-0.0000	0.0000	-0.0000
0.3000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0006	-0.0000	0.0000	-0.0000
0.3500	1.0000	0.0000	0.9999	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.9999	0.0000	1.0000	0.0000	0.0032	-0.0000	0.0001	-0.0000
0.4000	0.9989	0.0000	0.9989	0.0000	0.9988	0.0000	0.9988	0.0000	0.9989	0.0000	0.9999	0.0000	1.9996	0.0000	0.9999	0.0000	0.0100	-0.0000	0.0002	-0.0000
0.4500	0.9989	0.0000	0.9989	0.0000	0.9983	0.0000	0.9986	0.0000	0.9987	0.0000	0.9996	0.0000	1.9989	0.0000	0.9996	0.0000	0.0235	-0.0000	0.0007	-0.0000
0.5000	0.9971	0.0000	0.9976	0.0000	0.9974	0.0000	0.9974	0.0000	0.9976	0.0000	0.9989	0.0000	1.9971	0.0000	0.9989	0.0000	0.0496	-0.0000	0.0019	-0.0000
0.5500	0.9945	0.0000	0.9952	0.0000	0.9953	0.0000	0.9949	0.0000	0.9947	0.0000	0.9976	0.0000	1.9939	0.0000	0.9976	0.0000	0.0880	-0.0000	0.0042	-0.0000
0.6000	0.9916	0.0000	0.9914	0.0000	0.9910	0.0000	0.9919	0.0000	0.9914	0.0000	0.9954	0.0000	1.9883	0.0000	0.9954	0.0000	0.1355	-0.0000	0.0081	-0.0000
0.6500	0.9859	0.0000	0.9848	0.0000	0.9850	0.0000	0.9858	0.0000	0.9849	0.0000	0.9918	0.0000	1.9795	0.0000	0.9918	0.0000	0.2263	-0.0000	0.0171	-0.0000
0.7000	0.9745	0.0000	0.9732	0.0000	0.9734	0.0000	0.9743	0.0000	0.9736	0.0000	0.9863	0.0000	1.9666	0.0000	0.9863	0.0000	0.3186	-0.0000	0.0308	-0.0000
0.7500	0.9596	0.0001	0.9575	0.0001	0.9584	0.0001	0.9572	0.0001	0.9570	0.0001	0.9778	0.0000	1.9476	0.0000	0.9778	0.0000	0.4676	-0.0000	0.0586	-0.0000
0.8000	0.9475	0.0001	0.9377	0.0001	0.9358	0.0001	0.9365	0.0001	0.9377	0.0001	0.9654	0.0000	1.9214	0.0000	0.9654	0.0000	0.6420	-0.0000	0.1096	-0.0000
0.8500	0.9081	0.0001	0.8991	0.0001	0.8960	0.0001	0.8966	0.0001	0.8974	0.0001	0.9462	0.0000	1.8843	0.0000	0.9462	0.0000	0.8536	-0.0000	0.2078	-0.0000
0.9000	0.8815	0.0001	0.8605	0.0001	0.8537	0.0001	0.8512	0.0001	0.8483	0.0001	0.9154	0.0000	1.8321	0.0000	0.9153	0.0000	1.2586	-0.0001	0.5044	-0.0001
0.9500	0.8107	0.0001	0.7687	0.0001	0.7516	0.0001	0.7448	0.0001	0.7377	0.0001	0.8545	0.0000	1.7502	0.0000	0.8544	0.0000	2.1469	-0.0001	1.8976	-0.0006
1.0000	0.6734	0.0001	0.5736	0.0001	0.5138	0.0001	0.4739	0.0001	0.4384	0.0001	0.5179	0.0001	1.5587	0.0000	0.5089	0.0001	7.5535	-0.0001	85.8368	-0.0144
1.0500	0.5331	0.0001	0.3870	0.0001	0.2968	0.0001	0.2376	0.0001	0.1918	0.0001	0.1364	0.0000	1.3819	0.0000	0.1195	0.0000	2.0028	0.0002	12.3807	0.0039
1.1000	0.4638	0.0001	0.3199	0.0001	0.2205	0.0001	0.1468	0.0001	0.0978	0.0001	0.0879	0.0000	1.3022	0.0000	0.0750	0.0000	1.4252	0.0001	5.3479	0.0016
1.1500	0.4392	0.0001	0.2522	0.0001	0.1665	0.0001	0.1231	0.0001	0.0850	0.0001	0.0693	0.0000	1.2460	0.0000	0.0585	0.0000	1.0216	0.0001	3.1894	0.0009
1.2000	0.4015	0.0001	0.2366	0.0001	0.1259	0.0001	0.0811	0.0001	0.0429	0.0001	0.0597	0.0000	1.2011	0.0000	0.0502	0.0000	1.0685	0.0002	2.4219	0.0006
1.2500	0.3496	0.0001	0.1821	0.0001	0.0885	0.0001	0.0710	0.0001	0.0411	0.0001	0.0528	0.0000	1.1623	0.0000	0.0445	0.0000	0.8635	0.0008	1.8821	0.0006
1.3000	0.3987	0.0001	0.1881	0.0001	0.0938	0.0001	0.0398	0.0001	0.0151	0.0001	0.0473	0.0000	1.1302	0.0000	0.0393	0.0000	0.7491	0.0006	1.5758	0.0005
1.3500	0.3165	0.0001	0.1787	0.0001	0.0528	0.0001	0.0458	0.0001	0.0194	0.0001	0.0436	0.0000	1.1026	0.0000	0.0364	0.0000	0.7483	0.0010	1.3801	0.0004
1.4000	0.2461	0.0001	0.0730	0.0001	0.0489	0.0001	0.0147	0.0001	0.0140	0.0001	0.0396	0.0000	1.0781	0.0000	0.0330	0.0000	0.7328	0.0011	1.0701	0.0004
1.4500	0.3509	0.0001	0.1256	0.0001	0.0573	0.0001	0.0122	0.0001	0.0091	0.0001	0.0396	0.0000	1.0596	0.0000	0.0333	0.0000	0.7094	0.0014	1.0869	0.0010
1.5000	0.3106	0.0001	0.1560	0.0001	0.0702	0.0001	0.0075	0.0001	0.0077	0.0001	0.0380	0.0000	1.0438	0.0000	0.0312	0.0000	0.7594	0.0015	1.1303	0.0014
