#t	c1	dc1	c2	dc2	c2	dc3	c4	dc4	c5	dc5	m	dm	e	de	m1	dm1	x	dx	h	dh
1.1450	0.6755	0.4713	0.5826	0.4884	0.4978	0.5177	0.4528	0.5146	0.4243	0.5137	0.0000	0.0000	1.6852	0.0170	0.0000	0.0000	0.0003	0.0000
1.1500	0.6693	0.4605	0.5440	0.4947	0.4888	0.4930	0.4452	0.5004	0.4061	0.4906	0.0000	0.0000	1.6731	0.0171	0.0000	0.0000	0.0003	0.0000
1.1550	0.6773	0.4806	0.5634	0.4784	0.4972	0.4961	0.4278	0.4992	0.3927	0.4928	0.0000	0.0000	1.6633	0.0156	0.0000	0.0000	0.0002	0.0000
1.1600	0.6796	0.4389	0.5515	0.4769	0.4633	0.4912	0.4371	0.4747	0.3831	0.4868	0.0000	0.0000	1.6567	0.0155	0.0000	0.0000	0.0002	0.0000
1.1650	0.6592	0.4680	0.5006	0.5225	0.4353	0.5002	0.4055	0.4714	0.3596	0.4862	0.0000	0.0000	1.6476	0.0155	0.0000	0.0000	0.0002	0.0000
1.1700	0.6829	0.4564	0.5510	0.4685	0.4524	0.4674	0.4159	0.4669	0.3560	0.4623	0.0000	0.0000	1.6408	0.0139	0.0000	0.0000	0.0002	0.0000
1.1750	0.6501	0.4797	0.5464	0.4641	0.4648	0.4585	0.4189	0.4379	0.3816	0.4294	0.0000	0.0000	1.6334	0.0129	0.0000	0.0000	0.0001	0.0000
1.1800	0.6158	0.4804	0.5275	0.4843	0.4688	0.4748	0.4074	0.4666	0.3673	0.4514	0.0000	0.0000	1.6253	0.0139	0.0000	0.0000	0.0002	0.0000
1.1850	0.6288	0.4842	0.4477	0.5296	0.3405	0.5018	0.3023	0.4779	0.2810	0.4438	0.0000	0.0000	1.6211	0.0126	0.0000	0.0000	0.0001	0.0000
1.1900	0.6165	0.5015	0.4668	0.5291	0.3860	0.5179	0.3378	0.4865	0.2967	0.4655	0.0000	0.0000	1.6132	0.0133	0.0000	0.0000	0.0002	0.0000
1.1950	0.6070	0.4652	0.4489	0.4754	0.3448	0.4849	0.2887	0.4798	0.2378	0.4735	0.0000	0.0000	1.6064	0.0126	0.0000	0.0000	0.0001	0.0000
1.2000	0.5519	0.5346	0.4421	0.5095	0.3606	0.4906	0.2856	0.4845	0.2445	0.4495	0.0000	0.0000	1.6043	0.0127	0.0000	0.0000	0.0001	0.0000
