0.9709	1.7304
0.8976	1.7184
0.3682	1.5024
0.3681	1.5004
0.3678	1.4996
0.3302	1.4848
0.3305	1.4828
0.3271	1.4768
0.3271	1.4760
0.3395	1.4492
0.3508	1.4440
0.3258	1.4392
0.3320	1.4324
0.3321	1.4312
0.3296	1.4296
0.2886	1.4056
0.2891	1.4040
0.2777	1.3984
0.2772	1.3968
0.2753	1.3956
0.2463	1.3888
0.1639	1.3680
0.1590	1.3652
0.1590	1.3664
0.1447	1.3616
0.1441	1.3596
0.1436	1.3596
0.1431	1.3592
0.1468	1.3592
0.1421	1.3600
0.1329	1.3512
0.1326	1.3496
0.1321	1.3480
0.1350	1.3448
0.1287	1.3396
0.1197	1.3352
0.1206	1.3344
0.1274	1.3260
0.1133	1.3224
0.1190	1.3200
0.1172	1.3180
0.1220	1.3164
0.1286	1.3076
0.1286	1.3072
0.1316	1.3036
0.1307	1.3028
0.1310	1.3016
0.1309	1.3016
0.1295	1.3008
0.1337	1.2956
0.1401	1.2932
0.1407	1.2928
0.1412	1.2932
0.1302	1.2872
0.1395	1.2852
0.1378	1.2844
0.1376	1.2840
0.1307	1.2796
0.1251	1.2780
0.1243	1.2780
0.1123	1.2724
0.1199	1.2764
0.1223	1.2748
0.1319	1.2740
0.1319	1.2708
0.1320	1.2704
0.1307	1.2692
0.1209	1.2648
0.1212	1.2644
0.1215	1.2632
0.1270	1.2616
0.1265	1.2612
0.1258	1.2612
0.1241	1.2604
0.1239	1.2592
0.1234	1.2592
0.1257	1.2580
0.1259	1.2576
0.1253	1.2580
0.1249	1.2572
0.1247	1.2560
0.1154	1.2512
0.1147	1.2504
0.1068	1.2492
0.1043	1.2452
0.1153	1.2320
0.1143	1.2308
0.1205	1.2272
0.1149	1.2252
0.1194	1.2232
0.1188	1.2232
0.1178	1.2232
0.1171	1.2224
0.1492	1.2156
0.1491	1.2148
0.1488	1.2140
0.1429	1.2112
0.1435	1.2096
0.1438	1.2080
0.1388	1.2072
0.1384	1.2068
0.1390	1.2060
0.1353	1.2032
0.1349	1.2024
0.1372	1.2004
0.1369	1.2012
0.1309	1.1980
0.1310	1.1964
0.1312	1.1952
0.1314	1.1940
0.1310	1.1940
0.1314	1.1924
0.1234	1.1868
0.1203	1.1852
0.1164	1.1832
0.1165	1.1832
0.0909	1.1720
0.1077	1.1684
0.1074	1.1680
0.1104	1.1664
0.1101	1.1632
0.1097	1.1628
0.1095	1.1612
0.1103	1.1592
0.1100	1.1544
0.1284	1.1548
0.1266	1.1536
0.1267	1.1528
0.1268	1.1520
0.1287	1.1468
0.1281	1.1460
0.1276	1.1400
0.1283	1.1388
0.1276	1.1388
0.1280	1.1372
0.1288	1.1348
0.1283	1.1316
0.1234	1.1264
0.1233	1.1260
0.1238	1.1236
0.1232	1.1232
0.1266	1.1212
0.1261	1.1196
0.1265	1.1188
0.1267	1.1188
0.1265	1.1188
0.1269	1.1176
0.1281	1.1160
0.1282	1.1160
0.1274	1.1152
0.1269	1.1152
0.1274	1.1152
0.1270	1.1148
0.1269	1.1152
0.1277	1.1120
0.1282	1.1120
0.1329	1.1080
0.1346	1.1060
0.1305	1.1028
0.1307	1.1028
0.1275	1.1028
0.1243	1.1012
0.1247	1.1004
0.1246	1.1000
0.1220	1.0984
0.1199	1.0976
0.1184	1.0956
0.1201	1.0956
0.1225	1.0944
0.1228	1.0940
0.1227	1.0944
0.1238	1.0924
0.1215	1.0912
0.1197	1.0888
0.1200	1.0880
0.1197	1.0876
0.1195	1.0876
0.1206	1.0872
0.1214	1.0868
0.1227	1.0856
0.1217	1.0852
0.1201	1.0852
0.1205	1.0856
0.0837	1.0812
0.0840	1.0808
0.0923	1.0768
0.0919	1.0760
0.0846	1.0700
0.0850	1.0684
0.0852	1.0680
0.0843	1.0656
0.0848	1.0648
0.0853	1.0644
0.0839	1.0640
0.0876	1.0640
0.0865	1.0640
0.0841	1.0632
0.0839	1.0620
0.0831	1.0624
0.0822	1.0620
0.0816	1.0620
0.0809	1.0608
0.0806	1.0608
0.0804	1.0604
0.0806	1.0596
0.0823	1.0572
0.0872	1.0508
0.0887	1.0484
0.0869	1.0484
0.0870	1.0476
0.0869	1.0448
0.0867	1.0448
0.0869	1.0440
0.0760	1.0416
0.0704	1.0396
0.0710	1.0396
0.0717	1.0404
0.0724	1.0384
0.0724	1.0380
0.0811	1.0344
0.0773	1.0336
0.0777	1.0320
0.0786	1.0312
0.0778	1.0304
