#t	m	dm	e	de	x	dx	h	dh
0.3530	0.0715	0.0544	-0.8916	0.0445	2.110280	0.039039	1.418509	0.024730
0.3560	0.0736	0.0554	-0.9035	0.0444	2.227251	0.033922	1.427683	0.019576
0.3590	0.0760	0.0573	-0.9148	0.0446	2.407131	0.050578	1.437314	0.015670
0.3620	0.0786	0.0594	-0.9286	0.0454	2.579577	0.031952	1.515864	0.011901
0.3650	0.0810	0.0615	-0.9404	0.0456	2.800815	0.048466	1.524513	0.019991
0.3680	0.0844	0.0631	-0.9536	0.0462	2.966117	0.047195	1.586850	0.025819
0.3710	0.0880	0.0660	-0.9661	0.0464	3.270066	0.047815	1.599416	0.016160
0.3740	0.0919	0.0685	-0.9792	0.0475	3.563806	0.057538	1.728138	0.020549
0.3770	0.0949	0.0713	-0.9926	0.0470	3.891782	0.050546	1.683559	0.023691
0.3800	0.0987	0.0739	-1.0062	0.0483	4.210912	0.047215	1.777143	0.019712
0.3830	0.1021	0.0764	-1.0204	0.0483	4.569978	0.052896	1.818270	0.017153
0.3860	0.1083	0.0812	-1.0354	0.0487	5.194666	0.114928	1.859662	0.024841
0.3890	0.1142	0.0839	-1.0492	0.0498	5.581848	0.069816	1.948013	0.022357
0.3920	0.1199	0.0884	-1.0644	0.0505	6.265293	0.072008	2.026732	0.026148
0.3950	0.1272	0.0940	-1.0801	0.0505	6.926963	0.067561	2.031667	0.020287
0.3980	0.1354	0.1005	-1.0956	0.0509	8.145666	0.081465	2.088013	0.033883
0.4010	0.1450	0.1072	-1.1122	0.0521	9.360159	0.064511	2.193057	0.030096
0.4040	0.1544	0.1114	-1.1282	0.0533	10.164689	0.154249	2.341257	0.036225
0.4070	0.1685	0.1211	-1.1456	0.0538	12.088091	0.208992	2.379080	0.044382
0.4100	0.1828	0.1294	-1.1630	0.0544	14.057977	0.217755	2.453897	0.028020
0.4130	0.2000	0.1400	-1.1820	0.0562	16.293840	0.264456	2.627440	0.034366
0.4160	0.2214	0.1501	-1.2006	0.0575	19.026626	0.156848	2.791059	0.038069
0.4190	0.2473	0.1638	-1.2212	0.0591	22.862584	0.290098	2.971204	0.031995
0.4220	0.2834	0.1774	-1.2457	0.0625	26.901252	0.355069	3.332856	0.053639
0.4250	0.3213	0.1915	-1.2694	0.0645	31.644075	0.265349	3.602466	0.053182
0.4280	0.3696	0.2011	-1.2953	0.0679	34.935526	0.278764	3.971125	0.042669
0.4310	0.4287	0.2076	-1.3247	0.0712	37.652035	0.303322	4.411648	0.053442
0.4340	0.4961	0.2046	-1.3577	0.0733	36.991246	0.500083	4.690019	0.047360
0.4370	0.5575	0.1935	-1.3901	0.0737	33.185904	0.474540	4.790774	0.050984
0.4400	0.6131	0.1766	-1.4214	0.0731	28.545599	0.564462	4.771244	0.041181
0.4430	0.6657	0.1499	-1.4513	0.0700	20.223790	0.457172	4.379548	0.049675
0.4460	0.7085	0.1215	-1.4804	0.0664	13.309028	0.333218	3.966930	0.054213
0.4490	0.7406	0.1016	-1.5051	0.0635	9.545872	0.201939	3.638053	0.041523
0.4520	0.7664	0.0850	-1.5282	0.0604	6.691599	0.183536	3.335039	0.048846
0.4550	0.7863	0.0724	-1.5486	0.0579	4.904501	0.204979	3.078697	0.043610
0.4580	0.8043	0.0602	-1.5684	0.0555	3.274160	0.135350	2.847468	0.031061
0.4610	0.8192	0.0508	-1.5868	0.0526	2.374926	0.082175	2.587477	0.037212
0.4640	0.8326	0.0441	-1.6046	0.0513	1.860085	0.062394	2.481233	0.037847
0.4670	0.8419	0.0431	-1.6195	0.0503	1.719986	0.050368	2.412399	0.034104
0.4700	0.8524	0.0368	-1.6349	0.0483	1.325930	0.027184	2.208633	0.019159
0.4730	0.8602	0.0343	-1.6477	0.0476	1.123851	0.030108	2.175114	0.022433
0.4760	0.8682	0.0317	-1.6613	0.0459	0.985748	0.023698	2.037354	0.029959
0.4790	0.8754	0.0293	-1.6739	0.0448	0.831041	0.014581	1.936535	0.024256
0.4820	0.8818	0.0274	-1.6860	0.0436	0.724752	0.018060	1.871970	0.015807
0.4850	0.8878	0.0258	-1.6970	0.0426	0.640817	0.011318	1.766515	0.027308
0.4880	0.8933	0.0238	-1.7071	0.0411	0.561851	0.007567	1.676358	0.026207
0.4910	0.8979	0.0229	-1.7172	0.0405	0.519315	0.010155	1.632579	0.016955
0.4940	0.9023	0.0215	-1.7262	0.0397	0.467227	0.010545	1.569462	0.020378
0.4970	0.9072	0.0206	-1.7367	0.0384	0.431302	0.006678	1.492367	0.016753
0.5000	0.9112	0.0197	-1.7458	0.0379	0.393833	0.008951	1.442200	0.018677
