#t	m	dm	e	de	x	dx	h	dh
0.3530	0.3275	0.2143	-0.9102	0.2146	1.628512	0.022423	1.626660	0.028964
0.3560	0.3374	0.2172	-0.9239	0.2156	1.677487	0.016679	1.666126	0.023767
0.3590	0.3497	0.2222	-0.9396	0.2221	1.773632	0.019497	1.765390	0.030964
0.3620	0.3632	0.2274	-0.9576	0.2274	1.865953	0.021754	1.862584	0.036832
0.3650	0.3729	0.2295	-0.9676	0.2290	1.909019	0.016604	1.912070	0.022478
0.3680	0.3860	0.2346	-0.9869	0.2310	2.016197	0.019392	1.982030	0.025319
0.3710	0.3956	0.2380	-1.0054	0.2348	2.111778	0.018559	2.023780	0.038320
0.3740	0.4094	0.2405	-1.0198	0.2409	2.156694	0.023446	2.171279	0.034664
0.3770	0.4232	0.2443	-1.0386	0.2442	2.247995	0.016332	2.250412	0.012604
0.3800	0.4355	0.2476	-1.0522	0.2490	2.332591	0.014086	2.371094	0.040692
0.3830	0.4481	0.2481	-1.0691	0.2479	2.363068	0.012772	2.329517	0.026398
0.3860	0.4623	0.2500	-1.0891	0.2479	2.402471	0.030516	2.381574	0.022984
0.3890	0.4800	0.2530	-1.1125	0.2564	2.472476	0.015221	2.566889	0.028217
0.3920	0.4982	0.2547	-1.1325	0.2610	2.542228	0.017927	2.678926	0.040394
0.3950	0.5096	0.2557	-1.1500	0.2621	2.592694	0.015523	2.707833	0.028422
0.3980	0.5266	0.2562	-1.1707	0.2648	2.619310	0.030100	2.806807	0.022636
0.4010	0.5457	0.2564	-1.1950	0.2668	2.646491	0.032329	2.862309	0.023313
0.4040	0.5621	0.2549	-1.2152	0.2704	2.627294	0.036623	2.953707	0.042262
0.4070	0.5779	0.2520	-1.2357	0.2676	2.627907	0.017653	2.901008	0.035022
0.4100	0.5901	0.2537	-1.2528	0.2721	2.631728	0.037066	3.034194	0.023477
0.4130	0.6152	0.2490	-1.2850	0.2715	2.535201	0.020136	3.064511	0.035657
0.4160	0.6275	0.2457	-1.2989	0.2711	2.488629	0.019458	3.039206	0.030108
0.4190	0.6430	0.2412	-1.3192	0.2702	2.417465	0.016151	3.040684	0.039271
0.4220	0.6636	0.2396	-1.3486	0.2723	2.423243	0.028153	3.092346	0.029124
0.4250	0.6797	0.2316	-1.3650	0.2690	2.288657	0.044356	3.056114	0.020435
0.4280	0.6941	0.2275	-1.3894	0.2642	2.219221	0.045041	2.991877	0.020596
0.4310	0.7127	0.2202	-1.4132	0.2656	2.111335	0.023567	3.046126	0.029226
0.4340	0.7238	0.2205	-1.4322	0.2636	2.105380	0.040816	3.058248	0.043216
0.4370	0.7387	0.2121	-1.4504	0.2623	1.967911	0.048785	2.988142	0.046388
0.4400	0.7539	0.2013	-1.4726	0.2554	1.808874	0.045021	2.890217	0.044895
0.4430	0.7644	0.1945	-1.4882	0.2477	1.667064	0.042876	2.721141	0.039630
0.4460	0.7766	0.1915	-1.5070	0.2513	1.675456	0.036094	2.818560	0.044192
0.4490	0.7923	0.1782	-1.5290	0.2426	1.450955	0.039873	2.667653	0.029415
0.4520	0.8049	0.1746	-1.5487	0.2376	1.372537	0.020642	2.545915	0.026158
0.4550	0.8136	0.1681	-1.5649	0.2354	1.283496	0.023882	2.533495	0.036719
0.4580	0.8248	0.1591	-1.5835	0.2296	1.153239	0.038445	2.435953	0.038602
0.4610	0.8289	0.1581	-1.5930	0.2267	1.153624	0.026990	2.360704	0.025881
0.4640	0.8393	0.1511	-1.6097	0.2211	1.058746	0.028078	2.265351	0.047475
0.4670	0.8475	0.1470	-1.6248	0.2179	1.005876	0.026020	2.218175	0.033050
0.4700	0.8575	0.1351	-1.6375	0.2125	0.845402	0.024247	2.120591	0.024652
0.4730	0.8641	0.1301	-1.6500	0.2084	0.801580	0.016023	2.033148	0.044468
0.4760	0.8707	0.1221	-1.6627	0.2020	0.684471	0.017844	1.930237	0.027040
0.4790	0.8760	0.1195	-1.6744	0.1957	0.685650	0.024052	1.849387	0.025889
0.4820	0.8812	0.1170	-1.6850	0.1947	0.642620	0.029863	1.837728	0.024983
0.4850	0.8865	0.1138	-1.6976	0.1905	0.604374	0.019485	1.740281	0.024819
0.4880	0.8955	0.0996	-1.7092	0.1828	0.498776	0.021588	1.615898	0.021331
0.4910	0.8994	0.0993	-1.7183	0.1817	0.493957	0.016440	1.604696	0.016641
0.4940	0.9040	0.0936	-1.7287	0.1768	0.430808	0.018507	1.528974	0.012826
0.4970	0.9067	0.0917	-1.7377	0.1739	0.401957	0.013616	1.509385	0.022885
0.5000	0.9110	0.0885	-1.7466	0.1708	0.390624	0.014987	1.461030	0.024974
