#t	m	dm	e	de	x	dx	h	dh
0.3530	0.0545	0.0408	-0.8910	0.0337	2.109831	0.032369	1.437045	0.022846
0.3560	0.0563	0.0426	-0.9032	0.0338	2.342449	0.042257	1.472485	0.022752
0.3590	0.0572	0.0431	-0.9157	0.0335	2.394646	0.026827	1.460183	0.016473
0.3620	0.0598	0.0452	-0.9279	0.0336	2.658817	0.038601	1.474227	0.019657
0.3650	0.0611	0.0461	-0.9421	0.0343	2.799551	0.044403	1.532809	0.024183
0.3680	0.0634	0.0482	-0.9536	0.0352	3.087116	0.043964	1.654677	0.009722
0.3710	0.0661	0.0500	-0.9666	0.0348	3.348692	0.052425	1.623752	0.020888
0.3740	0.0687	0.0511	-0.9803	0.0355	3.524596	0.056357	1.702266	0.036127
0.3770	0.0709	0.0530	-0.9928	0.0355	3.842670	0.064996	1.713487	0.024438
0.3800	0.0736	0.0550	-1.0061	0.0361	4.113932	0.069282	1.778235	0.017003
0.3830	0.0783	0.0588	-1.0210	0.0365	4.825383	0.083349	1.826555	0.025005
0.3860	0.0822	0.0609	-1.0348	0.0364	5.174547	0.072024	1.835912	0.023230
0.3890	0.0852	0.0637	-1.0486	0.0372	5.691050	0.111560	1.934977	0.025602
0.3920	0.0909	0.0677	-1.0649	0.0372	6.401024	0.102876	1.958858	0.020998
0.3950	0.0953	0.0713	-1.0797	0.0381	7.249522	0.103860	2.063049	0.017261
0.3980	0.1009	0.0758	-1.0956	0.0383	8.175451	0.124669	2.104346	0.021275
0.4010	0.1106	0.0816	-1.1120	0.0391	9.588636	0.126700	2.228893	0.023272
0.4040	0.1171	0.0874	-1.1287	0.0400	11.006603	0.186205	2.331873	0.031919
0.4070	0.1243	0.0917	-1.1452	0.0396	12.362038	0.141389	2.279425	0.028548
0.4100	0.1368	0.0988	-1.1624	0.0406	14.657573	0.183674	2.413212	0.035220
0.4130	0.1483	0.1075	-1.1805	0.0417	17.088230	0.178624	2.582331	0.029025
0.4160	0.1664	0.1180	-1.2007	0.0424	20.840442	0.252184	2.711041	0.034948
0.4190	0.1854	0.1308	-1.2195	0.0437	25.848869	0.287670	2.884267	0.047273
0.4220	0.2115	0.1452	-1.2408	0.0449	31.882079	0.294354	3.060373	0.044553
0.4250	0.2464	0.1597	-1.2644	0.0468	38.934256	0.329884	3.333320	0.061842
0.4280	0.2921	0.1777	-1.2888	0.0499	48.759874	0.676618	3.819658	0.038882
0.4310	0.3532	0.1935	-1.3166	0.0525	58.169491	0.420197	4.293387	0.050865
0.4340	0.4233	0.2004	-1.3476	0.0550	63.190045	0.467250	4.745129	0.035049
0.4370	0.5103	0.1934	-1.3821	0.0569	58.845418	0.820127	5.111599	0.058059
0.4400	0.5871	0.1701	-1.4161	0.0565	46.077666	0.999508	5.050692	0.060443
0.4430	0.6532	0.1380	-1.4490	0.0544	30.332057	0.383563	4.708466	0.053391
0.4460	0.7020	0.1068	-1.4777	0.0502	17.626591	0.539976	4.055162	0.067145
0.4490	0.7392	0.0836	-1.5050	0.0473	11.202313	0.318343	3.684910	0.044374
0.4520	0.7667	0.0647	-1.5286	0.0450	6.633496	0.189702	3.296642	0.041890
0.4550	0.7879	0.0535	-1.5496	0.0438	4.736210	0.167894	3.132725	0.036750
0.4580	0.8049	0.0452	-1.5692	0.0419	3.310248	0.077129	2.887421	0.046688
0.4610	0.8185	0.0395	-1.5863	0.0406	2.585216	0.070236	2.713932	0.037577
0.4640	0.8313	0.0345	-1.6037	0.0381	2.016561	0.056762	2.433284	0.033120
0.4670	0.8424	0.0310	-1.6197	0.0372	1.600216	0.035888	2.320662	0.031353
0.4700	0.8521	0.0277	-1.6343	0.0361	1.308391	0.028501	2.216462	0.043615
0.4730	0.8607	0.0257	-1.6486	0.0352	1.125178	0.018291	2.120502	0.024877
0.4760	0.8674	0.0240	-1.6607	0.0348	0.978655	0.018865	2.059278	0.030030
0.4790	0.8755	0.0223	-1.6740	0.0340	0.856113	0.016679	1.997354	0.033190
0.4820	0.8816	0.0205	-1.6851	0.0326	0.738706	0.007142	1.822767	0.024487
0.4850	0.8877	0.0191	-1.6970	0.0315	0.635280	0.013780	1.731132	0.029818
0.4880	0.8929	0.0183	-1.7070	0.0312	0.591682	0.008459	1.729854	0.020646
0.4910	0.8981	0.0173	-1.7179	0.0305	0.525777	0.007695	1.638643	0.020591
0.4940	0.9031	0.0162	-1.7280	0.0297	0.463626	0.007224	1.573733	0.019917
0.4970	0.9076	0.0153	-1.7374	0.0289	0.420134	0.007540	1.509226	0.026619
0.5000	0.9110	0.0147	-1.7452	0.0287	0.394368	0.004668	1.467185	0.028031
