#t	m	dm	e	de	x	dx	h	dh
0.3530	0.2195	0.1547	-0.8919	0.1343	1.894651	0.022512	1.430745	0.011071
0.3560	0.2258	0.1596	-0.9046	0.1365	2.030205	0.025254	1.478392	0.029442
0.3590	0.2350	0.1639	-0.9191	0.1370	2.177141	0.023257	1.506841	0.028499
0.3620	0.2448	0.1709	-0.9339	0.1390	2.377371	0.028890	1.573446	0.022405
0.3650	0.2527	0.1735	-0.9451	0.1390	2.469129	0.023804	1.593913	0.013244
0.3680	0.2591	0.1782	-0.9587	0.1432	2.617633	0.039194	1.707347	0.025439
0.3710	0.2703	0.1836	-0.9742	0.1449	2.773061	0.021215	1.755861	0.025103
0.3740	0.2772	0.1861	-0.9859	0.1482	2.901496	0.029828	1.830495	0.041926
0.3770	0.2897	0.1917	-1.0013	0.1486	3.112561	0.025174	1.891875	0.023657
0.3800	0.3033	0.1973	-1.0165	0.1527	3.319647	0.024778	2.005742	0.028906
0.3830	0.3169	0.2036	-1.0334	0.1545	3.584536	0.026570	2.060909	0.032743
0.3860	0.3293	0.2083	-1.0503	0.1579	3.773325	0.039930	2.158299	0.038802
0.3890	0.3434	0.2126	-1.0662	0.1593	3.885537	0.015096	2.214774	0.019405
0.3920	0.3575	0.2197	-1.0839	0.1630	4.253992	0.018791	2.317705	0.028216
0.3950	0.3790	0.2258	-1.1020	0.1688	4.518040	0.028010	2.530111	0.028622
0.3980	0.3971	0.2279	-1.1214	0.1719	4.652265	0.026952	2.624474	0.034482
0.4010	0.4201	0.2333	-1.1453	0.1762	4.910192	0.026821	2.803937	0.054299
0.4040	0.4347	0.2352	-1.1655	0.1771	5.026026	0.056968	2.829516	0.020919
0.4070	0.4614	0.2380	-1.1879	0.1825	5.190752	0.054698	3.027516	0.042037
0.4100	0.4798	0.2416	-1.2072	0.1835	5.352942	0.058317	3.102296	0.052350
0.4130	0.5099	0.2428	-1.2368	0.1886	5.459400	0.059538	3.305078	0.035390
0.4160	0.5283	0.2407	-1.2553	0.1896	5.422502	0.054112	3.365171	0.038678
0.4190	0.5505	0.2398	-1.2788	0.1898	5.425792	0.038208	3.388799	0.051916
0.4220	0.5791	0.2353	-1.3067	0.1910	5.201948	0.089545	3.479783	0.041470
0.4250	0.6020	0.2289	-1.3285	0.1888	5.033904	0.051781	3.414156	0.033989
0.4280	0.6274	0.2251	-1.3549	0.1922	4.869082	0.053461	3.533288	0.043530
0.4310	0.6514	0.2189	-1.3818	0.1902	4.625907	0.073113	3.482080	0.051651
0.4340	0.6695	0.2146	-1.4030	0.1887	4.429421	0.071426	3.486982	0.045914
0.4370	0.6937	0.2043	-1.4266	0.1853	4.070336	0.085133	3.402604	0.042711
0.4400	0.7139	0.1947	-1.4506	0.1844	3.724033	0.083712	3.377955	0.063381
0.4430	0.7346	0.1855	-1.4745	0.1802	3.414370	0.059124	3.232848	0.046630
0.4460	0.7530	0.1724	-1.4944	0.1749	2.982405	0.064874	3.075594	0.043651
0.4490	0.7671	0.1667	-1.5127	0.1740	2.811583	0.071693	3.064864	0.040118
0.4520	0.7838	0.1540	-1.5337	0.1686	2.391402	0.068532	2.860801	0.033727
0.4550	0.7975	0.1481	-1.5545	0.1671	2.242871	0.074678	2.860930	0.040596
0.4580	0.8110	0.1374	-1.5726	0.1610	1.907470	0.053290	2.708332	0.047910
0.4610	0.8232	0.1292	-1.5909	0.1565	1.722464	0.045466	2.529655	0.033406
0.4640	0.8341	0.1209	-1.6057	0.1539	1.535418	0.054779	2.487740	0.039035
0.4670	0.8432	0.1121	-1.6189	0.1488	1.338600	0.027201	2.338993	0.040492
0.4700	0.8520	0.1060	-1.6346	0.1454	1.184434	0.041697	2.213123	0.026386
0.4730	0.8600	0.0964	-1.6459	0.1405	0.966793	0.036194	2.123761	0.037239
0.4760	0.8686	0.0914	-1.6619	0.1364	0.871366	0.047893	2.023348	0.024904
0.4790	0.8760	0.0858	-1.6731	0.1344	0.812767	0.016419	1.941647	0.020911
0.4820	0.8819	0.0820	-1.6863	0.1304	0.732540	0.037380	1.836522	0.021973
0.4850	0.8874	0.0745	-1.6946	0.1274	0.605200	0.021007	1.757763	0.025729
0.4880	0.8922	0.0735	-1.7071	0.1229	0.577983	0.018645	1.658998	0.024491
0.4910	0.8984	0.0666	-1.7178	0.1217	0.497156	0.012560	1.635327	0.018502
0.4940	0.9016	0.0676	-1.7256	0.1192	0.514097	0.023811	1.562067	0.029194
0.4970	0.9067	0.0627	-1.7352	0.1166	0.439963	0.026962	1.519282	0.024377
0.5000	0.9110	0.0606	-1.7447	0.1137	0.427737	0.025454	1.453791	0.021575
