#t	m	dm	e	de	x	dx	h	dh
0.3530	0.1090	0.0810	-0.8899	0.0674	2.099575	0.031416	1.438684	0.023596
0.3560	0.1115	0.0829	-0.9030	0.0668	2.213232	0.031460	1.444424	0.010457
0.3590	0.1155	0.0873	-0.9157	0.0673	2.440454	0.029689	1.463825	0.015729
0.3620	0.1182	0.0873	-0.9292	0.0674	2.502783	0.029764	1.482194	0.017327
0.3650	0.1242	0.0916	-0.9407	0.0684	2.765100	0.031619	1.546071	0.013261
0.3680	0.1296	0.0954	-0.9551	0.0690	3.033441	0.043571	1.565966	0.022289
0.3710	0.1328	0.0987	-0.9656	0.0701	3.246392	0.045467	1.627293	0.024597
0.3740	0.1398	0.1025	-0.9792	0.0708	3.547040	0.038706	1.675825	0.014812
0.3770	0.1424	0.1053	-0.9923	0.0710	3.795493	0.042644	1.719183	0.030447
0.3800	0.1501	0.1095	-1.0062	0.0714	4.116028	0.038519	1.745202	0.019365
0.3830	0.1578	0.1146	-1.0207	0.0729	4.532953	0.044073	1.816000	0.042303
0.3860	0.1659	0.1186	-1.0366	0.0747	4.899072	0.041503	1.938470	0.015109
0.3890	0.1724	0.1239	-1.0498	0.0746	5.416994	0.089078	1.935101	0.019652
0.3920	0.1839	0.1319	-1.0657	0.0759	6.111376	0.100509	2.038377	0.016688
0.3950	0.1951	0.1370	-1.0799	0.0758	6.714054	0.089072	2.071754	0.038738
0.3980	0.2052	0.1444	-1.0970	0.0785	7.493881	0.117650	2.187902	0.024187
0.4010	0.2194	0.1531	-1.1128	0.0793	8.474992	0.070348	2.275309	0.030939
0.4040	0.2346	0.1606	-1.1311	0.0810	9.369218	0.094363	2.365798	0.021869
0.4070	0.2532	0.1695	-1.1497	0.0819	10.498551	0.089339	2.459969	0.030798
0.4100	0.2721	0.1778	-1.1680	0.0848	11.632488	0.073913	2.645486	0.039418
0.4130	0.3009	0.1882	-1.1887	0.0873	13.129725	0.082807	2.847083	0.035392
0.4160	0.3276	0.1986	-1.2096	0.0905	14.722381	0.148411	3.049397	0.039012
0.4190	0.3595	0.2056	-1.2332	0.0937	16.081920	0.219157	3.345064	0.038882
0.4220	0.3950	0.2132	-1.2577	0.0973	17.238246	0.093231	3.600595	0.038448
0.4250	0.4340	0.2189	-1.2826	0.1003	18.419666	0.197633	3.856093	0.056267
0.4280	0.4738	0.2187	-1.3101	0.1021	18.491107	0.175808	4.025293	0.081620
0.4310	0.5242	0.2155	-1.3405	0.1039	17.962855	0.220536	4.216744	0.051447
0.4340	0.5662	0.2078	-1.3688	0.1045	16.979353	0.202806	4.263033	0.038612
0.4370	0.6114	0.1950	-1.3994	0.1030	14.874151	0.307431	4.181016	0.067949
0.4400	0.6519	0.1778	-1.4279	0.1024	12.557856	0.185941	4.146002	0.051047
0.4430	0.6902	0.1596	-1.4571	0.0991	10.272131	0.247425	3.917349	0.041991
0.4460	0.7173	0.1467	-1.4812	0.0962	8.737139	0.228153	3.734955	0.058591
0.4490	0.7479	0.1281	-1.5084	0.0930	6.594426	0.193882	3.508298	0.047759
0.4520	0.7696	0.1114	-1.5292	0.0898	5.032094	0.094255	3.270877	0.050380
0.4550	0.7879	0.0995	-1.5495	0.0862	4.019801	0.097493	3.060938	0.030311
0.4580	0.8039	0.0897	-1.5688	0.0815	3.232303	0.131642	2.786237	0.036165
0.4610	0.8185	0.0800	-1.5867	0.0815	2.742822	0.115188	2.766672	0.048798
0.4640	0.8317	0.0682	-1.6043	0.0765	1.963761	0.096358	2.449083	0.030753
0.4670	0.8416	0.0616	-1.6202	0.0744	1.573882	0.038833	2.353515	0.039253
0.4700	0.8520	0.0566	-1.6339	0.0725	1.346727	0.047880	2.236374	0.030834
0.4730	0.8597	0.0523	-1.6468	0.0711	1.166675	0.044864	2.153921	0.030760
0.4760	0.8680	0.0480	-1.6606	0.0682	0.979877	0.038594	1.997092	0.021274
0.4790	0.8748	0.0446	-1.6735	0.0675	0.853045	0.027451	1.971472	0.021180
0.4820	0.8813	0.0416	-1.6853	0.0648	0.739304	0.019206	1.831486	0.023675
0.4850	0.8886	0.0379	-1.6979	0.0640	0.624106	0.011129	1.776587	0.037129
0.4880	0.8934	0.0356	-1.7081	0.0622	0.559869	0.017115	1.696820	0.025282
0.4910	0.8982	0.0341	-1.7181	0.0611	0.512202	0.012438	1.659099	0.026358
0.4940	0.9031	0.0318	-1.7273	0.0591	0.448698	0.011647	1.554009	0.020276
0.4970	0.9074	0.0309	-1.7372	0.0579	0.434300	0.010967	1.487247	0.022036
0.5000	0.9111	0.0293	-1.7450	0.0567	0.387254	0.008781	1.444644	0.012052
