#t	m	dm	e	de	x	dx	h	dh
0.3530	0.0593	0.0444	-0.8911	0.0363	2.105024	0.030563	1.389947	0.017072
0.3560	0.0614	0.0463	-0.9040	0.0359	2.307559	0.033277	1.404476	0.027286
0.3590	0.0623	0.0473	-0.9153	0.0364	2.409717	0.034097	1.436828	0.020531
0.3620	0.0638	0.0481	-0.9268	0.0369	2.530751	0.048972	1.500271	0.026219
0.3650	0.0672	0.0512	-0.9410	0.0378	2.872731	0.028516	1.572367	0.018163
0.3680	0.0698	0.0522	-0.9528	0.0379	3.048274	0.032299	1.597250	0.020595
0.3710	0.0708	0.0533	-0.9658	0.0382	3.152225	0.041483	1.652522	0.019427
0.3740	0.0749	0.0566	-0.9785	0.0389	3.596290	0.047989	1.715300	0.020519
0.3770	0.0779	0.0587	-0.9934	0.0382	3.922820	0.031937	1.661303	0.028805
0.3800	0.0819	0.0603	-1.0072	0.0394	4.207429	0.086950	1.768597	0.023768
0.3830	0.0843	0.0635	-1.0215	0.0402	4.659619	0.088866	1.856122	0.023618
0.3860	0.0902	0.0662	-1.0354	0.0398	5.150739	0.031055	1.857248	0.018991
0.3890	0.0934	0.0696	-1.0494	0.0399	5.777626	0.073784	1.888080	0.025788
0.3920	0.0988	0.0736	-1.0647	0.0408	6.407826	0.102759	1.982341	0.019806
0.3950	0.1048	0.0787	-1.0805	0.0417	7.366175	0.114168	2.062996	0.028814
0.3980	0.1088	0.0810	-1.0955	0.0414	7.965281	0.115918	2.053700	0.032111
0.4010	0.1186	0.0882	-1.1110	0.0426	9.328368	0.116239	2.205869	0.032674
0.4040	0.1262	0.0924	-1.1289	0.0429	10.421771	0.145526	2.268651	0.025333
0.4070	0.1366	0.1002	-1.1457	0.0441	12.436875	0.140823	2.380734	0.037103
0.4100	0.1484	0.1089	-1.1626	0.0446	14.725244	0.219287	2.478786	0.035775
0.4130	0.1626	0.1176	-1.1812	0.0455	17.284184	0.244198	2.583408	0.057247
0.4160	0.1815	0.1263	-1.1992	0.0462	20.144207	0.300031	2.686134	0.021334
0.4190	0.2039	0.1412	-1.2203	0.0480	24.927634	0.453686	2.907707	0.029114
0.4220	0.2289	0.1547	-1.2412	0.0494	30.335249	0.379823	3.148732	0.039238
0.4250	0.2683	0.1705	-1.2649	0.0517	37.227988	0.587389	3.438673	0.053880
0.4280	0.3157	0.1853	-1.2900	0.0548	44.565231	0.528412	3.897947	0.049912
0.4310	0.3766	0.1983	-1.3190	0.0574	51.341955	0.430151	4.283791	0.076163
0.4340	0.4486	0.2027	-1.3516	0.0601	53.880702	0.460781	4.685907	0.065346
0.4370	0.5235	0.1924	-1.3836	0.0609	49.114167	0.606849	4.913159	0.064241
0.4400	0.5925	0.1736	-1.4173	0.0605	40.467170	0.771472	4.874279	0.060794
0.4430	0.6601	0.1399	-1.4508	0.0581	26.199964	0.535458	4.584817	0.048913
0.4460	0.7026	0.1151	-1.4788	0.0549	17.988841	0.502551	4.064436	0.087182
0.4490	0.7392	0.0900	-1.5048	0.0529	11.263932	0.388600	3.776511	0.042285
0.4520	0.7674	0.0704	-1.5294	0.0491	6.804689	0.259300	3.262335	0.065294
0.4550	0.7875	0.0574	-1.5495	0.0468	4.613312	0.213875	3.044596	0.043673
0.4580	0.8050	0.0491	-1.5692	0.0455	3.246260	0.118493	2.880968	0.048616
0.4610	0.8193	0.0435	-1.5878	0.0433	2.620999	0.101619	2.628099	0.040808
0.4640	0.8317	0.0382	-1.6038	0.0426	2.087961	0.043752	2.540596	0.047852
0.4670	0.8428	0.0338	-1.6205	0.0407	1.612533	0.053786	2.330097	0.020606
0.4700	0.8524	0.0304	-1.6346	0.0391	1.305602	0.026584	2.210066	0.032703
0.4730	0.8603	0.0287	-1.6481	0.0389	1.175681	0.043248	2.153631	0.017348
0.4760	0.8682	0.0257	-1.6611	0.0379	0.947945	0.014880	2.047475	0.017400
0.4790	0.8748	0.0245	-1.6734	0.0365	0.860918	0.027138	1.949327	0.026137
0.4820	0.8821	0.0223	-1.6859	0.0360	0.725238	0.012577	1.900220	0.019008
0.4850	0.8875	0.0208	-1.6965	0.0346	0.641836	0.011456	1.766313	0.024740
0.4880	0.8929	0.0196	-1.7072	0.0339	0.578675	0.015315	1.696971	0.026363
0.4910	0.8981	0.0186	-1.7178	0.0328	0.509202	0.006478	1.603039	0.020058
0.4940	0.9028	0.0181	-1.7274	0.0326	0.480658	0.010515	1.591974	0.020279
0.4970	0.9071	0.0168	-1.7364	0.0320	0.423334	0.009899	1.521235	0.019768
0.5000	0.9116	0.0158	-1.7459	0.0309	0.375162	0.003212	1.448402	0.018360
