#t	m	dm	e	de	x	dx	h	dh
0.0000	0.6002	0.0489	0.2801	-0.0178	-0.0145	-0.0009	0.0093	0.0107	0.0038	
-0.0010	0.5954	0.0497	0.2747	-0.0152	-0.0145	0.0064	0.0052	0.0025	0.0097	
-0.0012	0.5913	0.0566	0.2692	-0.0085	-0.0043	0.0092	0.0050	-0.0108	0.0005	
-0.0006	0.5876	0.0589	0.2631	0.0004	-0.0002	0.0071	0.0072	-0.0084	-0.0129	
0.0001	0.5836	0.0583	0.2579	-0.0018	-0.0005	0.0142	0.0142	-0.0153	-0.0119	
0.0032	0.5798	0.0578	0.2519	0.0022	0.0013	0.0077	0.0050	-0.0038	-0.0002	
0.0071	0.5761	0.0592	0.2465	0.0065	0.0006	-0.0109	-0.0047	0.0116	0.0112	
0.0090	0.5725	0.0517	0.2405	0.0069	-0.0011	0.0020	-0.0040	0.0172	0.0149	
0.0135	0.5682	0.0460	0.2355	-0.0035	-0.0029	-0.0038	-0.0181	0.0068	0.0055	
0.0174	0.5639	0.0432	0.2299	-0.0091	-0.0122	-0.0000	-0.0099	-0.0119	-0.0042	
0.0159	0.5600	0.0416	0.2257	-0.0180	-0.0190	-0.0064	-0.0069	-0.0121	-0.0054	
0.0160	0.5560	0.0416	0.2216	-0.0278	-0.0206	-0.0031	0.0037	-0.0120	-0.0031	
0.0186	0.5524	0.0348	0.2168	-0.0188	-0.0257	-0.0037	0.0080	0.0005	0.0136	
0.0196	0.5488	0.0229	0.2124	-0.0124	-0.0254	0.0065	0.0093	0.0116	0.0166	
0.0201	0.5449	0.0158	0.2083	-0.0033	-0.0194	-0.0103	-0.0089	-0.0054	-0.0066	
0.0202	0.5407	0.0119	0.2039	-0.0028	-0.0162	-0.0212	-0.0220	0.0065	0.0072	
0.0199	0.5366	0.0111	0.2003	-0.0006	-0.0142	-0.0285	-0.0309	0.0034	0.0036	
0.0207	0.5325	0.0192	0.1984	0.0022	-0.0168	-0.0278	-0.0244	0.0017	0.0035	
0.0217	0.5284	0.0234	0.1963	-0.0011	-0.0128	-0.0242	-0.0145	0.0206	0.0152	
0.0167	0.5246	0.0257	0.1952	-0.0109	-0.0110	-0.0141	-0.0113	0.0209	0.0246	
0.0121	0.5206	0.0242	0.1931	-0.0097	-0.0146	-0.0147	-0.0203	0.0269	0.0408	
0.0092	0.5171	0.0229	0.1910	-0.0127	-0.0137	-0.0177	-0.0202	0.0200	0.0149	
0.0099	0.5138	0.0195	0.1885	-0.0178	-0.0123	-0.0075	-0.0113	0.0162	0.0089	
0.0095	0.5110	0.0142	0.1862	-0.0226	-0.0093	-0.0069	-0.0127	-0.0117	-0.0106	
0.0107	0.5080	0.0097	0.1835	-0.0247	-0.0104	-0.0001	-0.0019	-0.0078	-0.0019	
0.0089	0.5049	0.0031	0.1809	-0.0203	-0.0095	0.0173	0.0065	-0.0001	0.0078	
0.0053	0.5023	-0.0013	0.1785	-0.0157	-0.0098	-0.0027	-0.0060	0.0144	0.0083	
0.0043	0.4998	-0.0065	0.1766	-0.0148	-0.0100	0.0011	0.0027	-0.0068	-0.0108	
-0.0004	0.4974	-0.0073	0.1745	-0.0162	-0.0090	-0.0020	-0.0005	0.0006	0.0046	
-0.0047	0.4955	-0.0083	0.1722	-0.0195	-0.0075	-0.0063	0.0000	0.0002	-0.0008	
-0.0040	0.4935	-0.0047	0.1702	-0.0189	-0.0077	-0.0137	-0.0125	-0.0043	0.0000	
-0.0027	0.4915	-0.0006	0.1677	-0.0090	-0.0076	-0.0125	-0.0103	-0.0063	-0.0019	
-0.0020	0.4895	0.0119	0.1661	-0.0069	-0.0079	-0.0022	-0.0072	0.0103	0.0011	
0.0007	0.4874	0.0151	0.1647	-0.0168	-0.0079	0.0071	0.0024	0.0084	0.0034	
0.0048	0.4854	0.0095	0.1644	-0.0224	-0.0057	0.0001	-0.0017	-0.0010	-0.0007	
0.0084	0.4833	0.0044	0.1618	-0.0240	0.0018	0.0071	0.0170	-0.0129	-0.0148	
0.0130	0.4811	0.0012	0.1582	-0.0317	-0.0000	0.0059	0.0106	-0.0033	-0.0095	
0.0160	0.4792	-0.0037	0.1536	-0.0277	0.0053	0.0011	-0.0040	-0.0091	-0.0169	
0.0196	0.4773	-0.0033	0.1490	-0.0269	0.0119	0.0136	0.0018	-0.0099	-0.0097	
0.0235	0.4751	-0.0095	0.1442	-0.0225	0.0165	0.0088	-0.0047	0.0030	-0.0048	
0.0260	0.4729	-0.0085	0.1410	-0.0196	0.0187	0.0192	0.0179	0.0001	0.0006	
0.0308	0.4707	0.0016	0.1382	-0.0221	0.0160	0.0184	0.0158	0.0023	0.0025	
0.0320	0.4687	0.0059	0.1370	-0.0219	0.0178	0.0275	0.0196	0.0241	0.0213	
0.0320	0.4670	0.0095	0.1356	-0.0215	0.0200	0.0214	0.0232	0.0129	0.0232	
0.0282	0.4654	0.0066	0.1337	-0.0196	0.0248	0.0156	0.0207	0.0016	0.0106	
0.0244	0.4638	0.0054	0.1323	-0.0163	0.0210	0.0153	0.0220	0.0081	0.0097	
0.0222	0.4624	0.0091	0.1315	-0.0186	0.0176	0.0209	0.0186	-0.0019	0.0011	
0.0211	0.4603	0.0080	0.1306	-0.0263	0.0078	0.0092	0.0090	0.0130	0.0151	
0.0180	0.4586	0.0098	0.1297	-0.0282	0.0028	0.0289	0.0146	-0.0086	-0.0063	
0.0152	0.4571	0.0121	0.1284	-0.0267	0.0001	0.0323	0.0129	-0.0199	-0.0247	
0.0124	0.4551	0.0148	0.1268	-0.0228	-0.0008	0.0192	-0.0086	-0.0015	-0.0060	
0.0115	0.4534	0.0168	0.1263	-0.0283	0.0005	0.0038	-0.0135	-0.0027	-0.0044	
0.0101	0.4510	0.0128	0.1256	-0.0336	-0.0048	-0.0098	-0.0146	0.0097	-0.0015	
0.0108	0.4488	0.0130	0.1258	-0.0280	-0.0048	-0.0036	-0.0089	-0.0010	-0.0070	
0.0090	0.4468	0.0092	0.1256	-0.0231	-0.0059	0.0059	0.0025	0.0149	-0.0072	
0.0102	0.4445	0.0069	0.1253	-0.0085	-0.0063	0.0181	0.0178	0.0086	0.0041	
0.0144	0.4425	0.0133	0.1246	-0.0036	-0.0095	0.0036	0.0109	-0.0003	-0.0040	
0.0202	0.4407	0.0113	0.1242	0.0080	-0.0082	-0.0022	0.0009	-0.0130	-0.0165	
0.0275	0.4391	0.0018	0.1239	0.0116	-0.0053	-0.0056	-0.0032	-0.0185	-0.0252	
0.0314	0.4376	-0.0055	0.1237	0.0070	-0.0041	-0.0114	-0.0090	-0.0145	-0.0127	
0.0347	0.4359	-0.0127	0.1221	-0.0018	0.0037	-0.0063	-0.0073	-0.0104	-0.0111	
0.0406	0.4339	-0.0124	0.1200	-0.0067	0.0054	0.0062	-0.0044	-0.0100	-0.0090	
0.0486	0.4324	-0.0149	0.1187	-0.0096	0.0085	-0.0052	-0.0108	0.0044	0.0053	
0.0592	0.4302	-0.0140	0.1174	-0.0032	0.0110	0.0149	0.0043	0.0033	0.0043	
0.0630	0.4280	-0.0178	0.1162	-0.0034	0.0084	0.0267	0.0005	-0.0037	-0.0033	
0.0680	0.4258	-0.0172	0.1166	-0.0062	0.0081	0.0223	0.0015	0.0202	0.0043	
0.0673	0.4237	-0.0150	0.1168	-0.0063	0.0080	0.0160	-0.0019	0.0091	0.0087	
0.0673	0.4221	-0.0143	0.1169	0.0026	0.0053	0.0142	0.0014	0.0166	0.0089	
0.0635	0.4208	-0.0086	0.1166	0.0080	-0.0011	0.0056	0.0047	-0.0037	-0.0026	
0.0629	0.4200	-0.0040	0.1161	0.0104	-0.0000	0.0040	0.0037	-0.0122	-0.0157	
0.0569	0.4195	-0.0020	0.1146	0.0186	0.0026	-0.0082	-0.0077	-0.0082	-0.0073	
0.0488	0.4185	-0.0076	0.1132	0.0176	0.0033	-0.0114	-0.0200	0.0025	0.0114	
0.0462	0.4175	-0.0088	0.1124	0.0238	0.0049	0.0136	-0.0025	0.0032	0.0073	
0.0449	0.4166	-0.0072	0.1124	0.0186	0.0137	0.0173	0.0085	0.0164	0.0144	
0.0432	0.4155	-0.0114	0.1119	0.0225	0.0212	0.0210	0.0124	0.0116	0.0192	
0.0413	0.4139	-0.0144	0.1113	0.0313	0.0292	0.0282	0.0119	0.0141	0.0209	
0.0377	0.4122	-0.0091	0.1105	0.0210	0.0310	0.0118	0.0056	-0.0069	-0.0036	
0.0331	0.4104	-0.0054	0.1106	0.0175	0.0330	0.0001	0.0035	-0.0039	-0.0070	
0.0301	0.4085	0.0019	0.1100	0.0088	0.0260	0.0107	0.0137	-0.0038	-0.0023	
0.0277	0.4065	0.0013	0.1090	0.0124	0.0239	0.0109	0.0087	0.0066	-0.0034	
0.0223	0.4047	-0.0084	0.1083	0.0088	0.0213	0.0026	-0.0007	-0.0017	-0.0015	
0.0178	0.4027	-0.0151	0.1076	0.0072	0.0191	0.0017	0.0049	-0.0024	-0.0018	
0.0158	0.4006	-0.0172	0.1070	0.0067	0.0174	0.0046	0.0024	0.0047	-0.0053	
0.0124	0.3984	-0.0135	0.1063	0.0082	0.0161	0.0002	0.0028	0.0010	-0.0031	
0.0082	0.3965	-0.0131	0.1045	0.0067	0.0075	0.0016	0.0149	0.0046	0.0025	
0.0072	0.3945	-0.0034	0.1035	0.0087	-0.0024	-0.0082	0.0053	0.0084	-0.0003	
0.0096	0.3921	-0.0002	0.1033	0.0138	-0.0106	-0.0028	0.0018	0.0022	-0.0051	
0.0135	0.3898	0.0062	0.1031	0.0104	-0.0200	-0.0051	-0.0124	0.0031	0.0042	
0.0181	0.3875	0.0103	0.1031	-0.0059	-0.0309	-0.0136	-0.0144	0.0149	0.0030	
0.0201	0.3852	0.0144	0.1029	-0.0028	-0.0326	-0.0159	-0.0136	-0.0005	0.0002	
